@relation data

@attribute id string
@attribute 1605 numeric
@attribute 2776 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 427 numeric
@attribute 820 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,11.37070935,9.668318219,5.817758343,10.2343328,7.0964976515,5.66449084,Control
GSM427159,11.95147243,8.930930318,5.309804873,9.714503602,6.6682528355,5.501288856,BRCA
GSM427160,12.10871075,9.213384421,5.379561399,9.488011381,6.509385796,5.375570566,BRCA
GSM427162,12.23392978,7.435526765,5.59291388,9.831893516,6.174467902,5.312711681,Control
GSM427163,11.96551025,9.924501194,5.283839608,9.455944203,6.6870181055,5.166927545,BRCA
GSM427164,11.84561169,10.54993411,5.694818396,9.831165155,7.253156792,5.651849079,BRCA
GSM427165,12.01701203,7.39744174,5.771893004,9.464617794,6.4765995115,7.161134718,BRCA
GSM427166,11.17361954,9.665460782,6.04385369,9.582283668,7.3763370605,5.655646098,Control
GSM427167,12.04072818,9.303998235,5.688817657,9.544781489,7.118253504,5.536838744,BRCA
GSM427169,11.58294888,8.352640608,5.508516797,10.08234238,6.8930044005,5.764746385,BRCA
GSM427170,11.33767223,6.808774778,5.279388878,10.00748325,6.2469583145,5.764215595,BRCA
GSM427171,11.43475867,9.546605663,5.545359333,9.471543702,7.0901609175,5.76209048,Control
GSM427172,11.66148208,9.998851701,4.880699299,9.730436649,7.5313944615,6.162699096,Control
GSM427178,11.9128857,9.061277435,5.784773056,10.69117233,7.293064907,5.36790503,BRCA
GSM427181,12.34260121,9.803614982,6.68067994,9.809000815,6.9529632565,5.673988298,BRCA
GSM427182,12.20475003,8.90929393,6.405912077,9.948696154,7.193921471,5.507962085,BRCA
GSM427183,12.29067992,8.5896522,5.86431694,10.16746241,7.5129273615,5.132588408,BRCA
GSM427187,12.17175704,8.886520521,5.549831826,9.854946719,7.022755699,6.920237092,BRCA
GSM427189,12.49713337,8.45292188,5.556131441,10.07805442,7.538302833,5.43213367,BRCA
GSM427193,12.09425678,9.284894137,6.565182543,10.04563037,7.2229527565,6.279290785,BRCA
