@relation data

@attribute id string
@attribute 10053 numeric
@attribute 10197 numeric
@attribute 10213 numeric
@attribute 1025 numeric
@attribute 10762 numeric
@attribute 11097 numeric
@attribute 11168 numeric
@attribute 1173 numeric
@attribute 1174 numeric
@attribute 1175 numeric
@attribute 129401 numeric
@attribute 130340 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 162 numeric
@attribute 163 numeric
@attribute 164 numeric
@attribute 1794 numeric
@attribute 23165 numeric
@attribute 23225 numeric
@attribute 23279 numeric
@attribute 23511 numeric
@attribute 2534 numeric
@attribute 291 numeric
@attribute 292 numeric
@attribute 3055 numeric
@attribute 3105 numeric
@attribute 348995 numeric
@attribute 375 numeric
@attribute 3836 numeric
@attribute 3837 numeric
@attribute 3932 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 5062 numeric
@attribute 51606 numeric
@attribute 53371 numeric
@attribute 5478 numeric
@attribute 55690 numeric
@attribute 55746 numeric
@attribute 567 numeric
@attribute 5682 numeric
@attribute 5683 numeric
@attribute 5684 numeric
@attribute 5685 numeric
@attribute 5686 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 5690 numeric
@attribute 5691 numeric
@attribute 5692 numeric
@attribute 5693 numeric
@attribute 5694 numeric
@attribute 5695 numeric
@attribute 5696 numeric
@attribute 5698 numeric
@attribute 5699 numeric
@attribute 5701 numeric
@attribute 5702 numeric
@attribute 5704 numeric
@attribute 5705 numeric
@attribute 5707 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 57122 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 5717 numeric
@attribute 5719 numeric
@attribute 5720 numeric
@attribute 5879 numeric
@attribute 5901 numeric
@attribute 5903 numeric
@attribute 5905 numeric
@attribute 60489 numeric
@attribute 6500 numeric
@attribute 7175 numeric
@attribute 7514 numeric
@attribute 79023 numeric
@attribute 79902 numeric
@attribute 8021 numeric
@attribute 8065 numeric
@attribute 8086 numeric
@attribute 81929 numeric
@attribute 8480 numeric
@attribute 8905 numeric
@attribute 8907 numeric
@attribute 8945 numeric
@attribute 904 numeric
@attribute 919 numeric
@attribute 920 numeric
@attribute 926 numeric
@attribute 940 numeric
@attribute 9491 numeric
@attribute 9631 numeric
@attribute 9688 numeric
@attribute 9818 numeric
@attribute 9844 numeric
@attribute 9861 numeric
@attribute 9972 numeric
@attribute 9978 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.6143120651,1.7593188546,3.0705487729,0.3849943972,0.4899455309,0.8025336055,0.7891367642,1.1524037090,0.5540406950,1.3559700908,1.0520923548,0.5078475111,0.2606576234,0.4948697878,0.7254632358,0.5647716359,1.1585602116,-0.1024942112,0.9790288194,0.6899368121,0.9026345282,0.3684030536,-0.0119043016,1.5245117468,0.0399595843,-0.0983433583,1.6537600474,0.7302590771,0.5565806307,1.1156418634,2.3536647187,-0.0882698743,1.5253196360,0.7909886523,1.9176566821,0.5670613307,0.4461162236,1.5583458656,0.1921057736,0.4754831513,1.7066748172,2.2073402414,1.8006257919,0.7097291802,2.9412509601,0.3913682441,2.9388146252,1.9019856943,1.2583440552,2.2415560880,3.7269645849,2.6642370224,2.0618758600,1.5838720549,1.0434957966,0.1622273526,0.8584559786,0.9876390278,0.8556338059,1.7747724253,2.3314954341,2.4640681253,2.0613655445,0.6910933228,1.1590418604,1.4673050791,2.5620279180,0.3878368930,2.2083607513,1.4262807779,0.8661886280,1.6020574199,1.9667338198,1.9308002658,2.7923812542,3.3409077062,1.2697496667,0.2663919034,-0.0900626685,2.4757785698,0.8881405729,1.0363398434,1.0847723121,1.7725182475,0.3414848109,1.3871190351,0.2932295016,1.9272642836,1.5733707614,0.6612468096,0.7030178067,0.0014613103,0.1393629896,-0.1217983118,-0.1204670775,-0.1294551434,-0.1338171530,1.5399761489,1.0942583308,1.9006769914,1.1677160359,-0.0869406655,1.2636217729,0.4972714678,2.1878641161,BRCA
GSM480985,0.6951283606,1.0737894159,2.3746759741,0.1467938789,0.3209908083,0.7899544011,0.7136773296,1.0972410342,0.3196732650,1.0621682248,0.5999261141,0.1873514526,0.1905879892,0.4369097236,0.6563419980,0.6130065929,1.1584935838,-0.1363082936,0.8449234596,0.4797835061,0.3769728733,0.1872565681,0.0315317513,1.2195487900,0.0332931683,-0.0792856847,2.4575460184,0.7941040839,0.4381162637,1.0993945984,2.1634807624,-0.1044245821,1.2684743941,0.5284117226,1.5525041097,0.6211203963,0.3337536132,1.4373816931,0.2808430154,0.4203461343,2.2545238521,1.9675475846,1.3080146634,0.6447591107,2.6366691590,0.2405135073,2.1245409846,1.7676415873,1.0201265613,1.5213540000,3.8218628408,2.2097178697,1.5911949210,1.2645772577,1.1899532302,0.6939739012,0.8885713741,0.7663843195,0.3498222147,1.3107205862,1.9363897890,2.0477833116,1.5865950387,0.3985210825,0.9361137499,1.3377952331,1.8590886791,0.3240292655,1.7433454197,1.1472269632,0.8193743725,0.9107755365,1.4204570089,2.0249512593,2.9129755730,2.8404286438,1.1120309131,0.0894873324,0.4516504603,2.5891925593,0.7980979091,0.8877975998,0.7446152211,1.3996164949,0.1817586680,1.3903962732,0.2457146933,1.3572577246,1.3429538292,0.5436569304,0.4508681191,0.0644135960,0.0183667333,-0.1453095515,-0.0646950120,-0.1462289999,-0.1120574987,1.1520689110,0.6886551158,1.2444984571,0.8040189062,-0.0779454309,1.1188458664,0.3756342870,1.9761838061,BRCA
GSM480986,0.7918008389,1.8491583764,2.8595618605,0.2963291010,0.5144213329,0.6092003303,0.7198959237,1.3037325410,0.5463974501,1.5079112994,0.9434039399,0.5657338353,0.2831735210,0.5527757206,0.9777050502,0.6778581731,1.2626870058,-0.1186301738,0.9667765086,0.3431033431,0.6600834293,0.2663877588,0.0265829566,1.5319489472,0.0670803441,-0.1359140973,2.0518530268,0.9862888256,0.4480022348,1.2530697547,2.3916749247,-0.1338326670,1.2953370094,0.8413109845,2.0052070367,0.4854964733,0.3676353578,1.6264587631,0.1176795102,0.4071509692,1.6450680888,2.0185471616,1.5925446658,0.4961553135,2.7614941466,0.2536827037,2.8320338726,1.7564823548,1.1450107998,1.9008631310,3.8489695709,2.6748867483,1.8237879276,1.4507928061,0.8309021704,0.2029656323,0.9676624611,0.8575561165,0.5596497871,1.8286897210,2.2213526815,2.6071301067,2.2693831920,0.6759793310,1.0260378638,1.3178322236,2.2887325682,0.3632296386,2.0609956980,1.5441710017,0.7495514079,1.2397070136,1.7497033941,1.9915900364,3.0052631994,3.3059428532,0.8680856632,0.2266702914,0.0498403765,2.5094936490,0.5540504726,0.8561127080,0.9023940156,1.6873053685,0.2735908890,1.1538929977,0.3267470447,1.8090917643,1.7406961901,0.6076434631,0.6861353857,0.1160914501,0.1478318812,-0.1005907862,-0.0579067368,-0.0785622794,-0.0338983699,1.5674212921,1.1981142461,1.8644245863,0.9770701648,-0.0655863837,1.1291056564,0.3576157473,1.9765978370,BRCA
GSM480987,-0.0504469688,1.7688858435,2.8639203607,0.2239426852,0.4756588642,0.4331952077,0.7147305615,1.3146498003,0.4076746446,1.5145772255,0.6746583796,-0.1297463610,0.2687426848,0.8254703291,0.5528650573,0.3246971715,0.8222441140,-0.1143419231,0.7314085239,0.0085328299,0.4986517626,0.2858136211,0.6367091207,0.8868841687,0.0265716336,-0.0738892581,1.5371368601,0.8838460347,0.4711683532,1.3282864069,2.6441825219,-0.0881993032,1.2237848221,0.5981645194,1.8267602669,0.4408101541,0.3425380510,1.5740409474,0.1596407719,0.3766436594,1.7874305205,2.1830363299,1.1467354411,0.4725399185,2.8822536202,0.2460166967,3.0399624704,1.7245372396,1.1122580485,1.8721716803,4.1376752855,2.8045297413,1.5132337742,1.5806218573,0.7913747263,0.6498941136,0.9045703037,0.7773260902,0.4109195821,1.8626209431,2.1181592641,2.4234962184,2.2019174297,0.5670724790,1.0121421953,1.3204048381,2.2926479181,0.2886954858,2.3301489353,1.7020493485,0.8017072354,1.0597597286,1.5147223439,1.8858662712,3.1002503070,3.7002783086,0.5817610253,0.1429179571,0.2006787300,2.1274220248,0.2872325689,0.8304926461,0.7593178876,1.6172707303,0.2320962109,1.0104617806,0.1665232545,1.9836852131,1.9729779246,0.6556489000,0.7343495455,0.0502347329,0.2336658917,-0.0885654808,-0.1082901696,-0.0993839056,-0.0878388124,1.3824992103,1.0364601911,2.0359585796,1.0548824731,-0.0845299377,1.0777177316,0.3201931257,1.9492992501,BRCA
GSM480988,0.6651541619,1.8225000948,2.9258421065,0.1185519144,0.5040328691,0.4507192669,0.6626570538,0.9602763783,0.2232566630,0.6505456722,0.9564199784,0.3142159817,0.1485788541,0.5611294274,1.2317149324,0.4339244361,1.3477626990,-0.1033965504,1.1624832315,0.3379816800,0.7316907225,0.1746661196,-0.0273392516,1.4778905808,0.0988541350,-0.1086901176,1.8993243343,0.8510179381,0.2954098738,1.0716301718,2.2289448325,-0.1169642382,1.6813288630,0.7880356329,1.9803916247,0.4717482587,0.2598672854,1.5029344358,0.0822306682,0.4961164197,1.4467981017,2.1585000711,1.2574726573,0.5656251633,2.5555683244,0.2439208655,2.0399914459,1.5017216142,1.0128488662,0.8926516573,3.6417503199,2.4234132768,1.2435510490,1.2748121728,0.5176818755,0.2469822872,0.5112905699,0.9155785242,0.2854670190,1.7320428490,1.9390811474,2.9703062001,2.2876025440,0.3214548384,0.7253218794,1.2627856149,1.8298926553,0.2664544750,1.8447708287,1.1882866008,0.6402117280,1.1759281231,1.0644178142,1.9116452998,3.0203843170,3.2048869663,0.8539893320,0.1148193197,0.0981286752,2.4852908452,0.5273030028,0.8680884670,1.0191732168,1.8396926300,0.3155866897,1.2009869608,0.0784844844,1.5446772821,1.6725406502,0.4668352327,0.4123464040,0.0174755329,-0.0508218127,-0.0758738198,-0.0813145423,-0.0891134516,-0.0262229780,1.1562894400,1.3504983186,1.6184079913,0.6414931819,-0.0179285063,1.0202307156,0.1854534280,1.5272548286,BRCA
GSM480989,1.0872009703,1.9073935897,2.0497237445,0.4301519243,0.2515059077,0.2878968191,0.4162900480,1.5578947200,0.6577190819,1.7629687284,0.2786281444,0.6118485513,0.3444870630,0.4892268392,1.2957978994,0.5308351245,0.9433390029,-0.1321152662,0.6236715474,0.5833824877,0.5280406712,0.2732863293,-0.0600568494,1.3813472157,0.1539426148,-0.0820474467,2.3293326482,0.5967798695,0.5821658545,0.8030967616,2.0772467871,-0.1489578907,0.9306071563,0.4615591537,1.8099314634,0.4853385165,0.1682821758,1.7817363106,0.2170070797,0.3463664977,1.4996691811,1.8589254519,0.9485145487,0.3611434739,2.2959700957,0.1926976523,2.9647475331,1.5194761063,1.2173278549,2.5915988287,4.5057553927,2.6381588131,2.0860008928,1.6970876416,1.3166937233,0.4767502910,1.5596292094,0.6635153531,0.8440375627,1.8526001043,2.1095351127,2.0516980396,2.3302920460,0.7212230265,0.9553307191,1.2426151514,1.3265355958,0.2508438974,2.3379210630,1.7375720107,0.5485009588,1.1067867132,1.9378589523,2.4617627858,3.3091132243,2.8934994141,0.4970077554,0.4082691085,0.2366226743,2.0783520440,0.2597217747,0.6783111019,0.6315251452,1.7930940537,0.3307590806,0.6685420608,0.3105335636,1.4989452720,1.8053516249,0.3172533265,0.5764628719,0.0230541362,-0.0113417384,-0.1262440262,-0.0625123944,-0.0522587583,-0.1424229563,1.6353111883,0.7900690103,2.1433293523,0.6250937043,-0.0128534615,0.8638154286,0.2868868260,1.6914763451,BRCA
GSM480990,0.5226657964,1.9044463635,2.5034759937,0.4547774609,0.3663991575,0.2567484271,0.4633520206,1.2710338862,0.8094430494,1.6323857997,0.4454658264,0.1051962484,0.3784631827,0.7273199062,0.9441063161,0.4113983666,0.8705823336,-0.0922584388,0.5934648400,0.1810319527,0.4196051169,0.2868407922,0.2139598701,0.9187243581,0.1393969006,-0.0679650967,2.1450957076,0.5345657226,0.5786951939,0.7596026584,2.1777327023,-0.1211649052,0.7941773206,0.4168597883,2.1385234782,0.5824783352,0.1865623486,1.5056323680,0.2875386685,0.3176912965,1.0134730950,2.0271611329,0.8501380980,0.3823457347,2.3948051927,0.1904167056,2.8774783389,1.4347388300,1.0848612408,1.7423893210,4.5048998354,2.6800882520,1.7278615104,1.5994681015,0.6955706701,0.2217045019,0.9081680514,0.6389651656,0.5100831413,1.8075009120,1.9555052741,2.1912706249,2.6141268810,0.7104415091,0.9665051731,1.2673510688,1.7735032969,0.2353488549,2.4668089150,1.6946846508,0.5301729460,1.1464720816,1.7035875950,1.7466791339,3.4219261243,3.2827595340,0.6544796128,0.3580428582,0.2167068899,2.0042174558,0.3550588907,0.9151575211,0.6770358148,1.5929139627,0.3354887767,0.9379209340,0.3472459912,1.5356153959,1.3790800394,0.4127825990,0.8928001613,0.0038495344,-0.0345922002,0.0351502841,-0.0763895354,-0.0772161086,-0.1355011998,1.4963267980,0.6197933665,2.1964491989,0.8004929145,-0.0893417975,0.8947838340,0.2576270442,1.3563763670,Control
GSM480991,1.0181285433,1.7922020852,2.5254729390,0.3619150005,0.3685883262,0.3352320662,0.2809984082,1.3845505780,0.5996197004,1.6801313789,0.5029890854,0.4232417083,0.4264603429,0.6834902414,1.1160722226,0.4659834468,1.1671589347,-0.1607563028,0.6033780656,0.2632443212,0.4026509775,0.2965048943,0.0233230338,1.4454906350,0.0915237828,-0.0715398984,2.4425219173,0.7777325424,0.5024416536,1.0520156908,1.8644463290,-0.0983536802,1.0513600351,0.4981267733,1.9004271532,0.4964059232,0.2289351204,1.4836390516,0.2171937806,0.3597656103,1.6864060450,1.8563768306,1.1478258233,0.4257154862,2.4562734896,0.2123464005,2.7812048569,1.6106534052,1.1927282117,1.8416862883,4.0195023060,2.7262809576,1.7762824299,1.3942010023,0.9840603023,0.4666677879,1.2104553805,0.5619151303,0.5117781859,1.8001384040,2.1972816589,2.1859802290,2.3295708100,0.7090388426,0.9844841587,1.2376323867,1.5388040409,0.2870655284,2.3132479590,1.4966919869,0.7394488404,1.2476795501,1.6545095873,2.1818544863,3.2534763878,3.2374715274,0.6270802238,0.2967241008,0.2226430022,2.3222305478,0.2713266311,0.7293166828,0.6241490858,1.2705404720,0.2419609862,0.8874228111,0.2648514968,1.5389606075,1.5989998545,0.4500272210,0.6971781336,0.0277498589,0.1688800022,-0.0616410336,-0.0782935824,-0.0783442961,-0.1265710275,1.6275674124,0.6278897970,1.6539879311,0.6209978864,-0.0558806657,0.9661887334,0.1586463004,1.6609341250,Control
GSM480992,1.1948922251,1.9878609218,2.2633216233,0.3223487682,0.3552881419,0.3066152192,0.5121210134,1.4126932023,0.7700731896,1.9441385897,0.4407250004,0.1149376764,0.4744916590,0.8376964311,1.3331444340,0.4312054103,1.1930996416,-0.0723381300,0.6688444043,0.5385330186,0.2964485517,0.3125823943,0.0886958316,0.9809066461,-0.0013418660,-0.1818838047,2.0768291049,0.6642244395,0.5279573448,0.8956672226,1.9721125551,-0.1135908183,0.9289087177,0.5204037031,2.0045540961,0.4913583273,0.2128063798,1.3489033755,0.3353139974,0.2997363796,0.8879585187,1.9470665303,0.7617480983,0.3720775344,2.0802210038,0.1049487142,2.5421525538,1.4351751020,1.2153816159,1.9397900107,4.3413267137,2.7089334876,1.9553286831,1.3022716794,0.9964155780,0.2011608248,0.9354733041,0.3648373661,0.6415492041,1.8337168824,1.9498871939,1.9373889181,2.4435079693,0.8453843741,0.9653077245,1.0807630825,1.4609698521,0.3092850267,2.3749431373,1.3819751292,0.5512549343,1.1383788195,1.5750498077,2.2309278118,3.4460021522,2.9594998624,0.6391996745,0.3714684534,0.0457682468,1.8556330402,0.3485739969,0.7818326849,0.5102666020,1.3486973049,0.3442658012,0.6792033351,0.5017346553,1.3852293123,1.5279809683,0.1409345185,0.8833835256,0.0437098363,-0.0821494438,-0.0767812506,-0.0207560157,-0.0389066301,-0.1144072044,1.6904229138,0.5969751815,2.0108780094,0.4366950640,0.0135426032,0.9245691404,0.2093612051,1.2825294479,Control
GSM480993,1.0236971223,1.8616356552,2.3908473255,0.2443711817,0.3950321178,0.3677166989,0.5821505020,1.3460859921,0.5045885989,1.6546143043,0.7420407823,0.4566361214,0.3253226646,0.6623232290,1.0990368054,0.6197645098,1.1070815918,-0.1167827717,0.9003113795,0.7873379532,0.5397679249,0.3433874613,0.0776393937,1.2801744139,0.0734973551,-0.1033922876,2.2138408538,0.8608841755,0.4610399691,1.0546213103,2.1503201872,-0.0451837614,1.0976969004,0.7333630248,1.9982736738,0.6403183415,0.3543627792,1.4635219814,0.1856943060,0.3972872659,1.7298643403,1.8764149353,1.1152045637,0.4715218885,2.3538808954,0.2072038372,2.6720158680,1.6913663838,1.2243270863,1.9234234890,3.9878728708,2.6524897961,1.8181509573,1.4848391836,1.2876011059,0.6328711621,1.0396554694,0.6283735601,0.5177623539,1.7456921671,2.1369374991,2.2438349653,2.3053646883,0.6424581836,0.9897042004,1.2571674703,1.7947998842,0.3338063993,2.1276670697,1.4768432305,0.7040909280,1.2577366306,1.6345224711,2.3526830144,3.0886874926,3.2373407947,0.5857965611,0.2933489696,0.3618614235,2.1322508257,0.2722776126,0.7789128744,0.9428212035,1.5577344969,0.2897538714,0.9325925376,0.3084160125,1.6705465861,1.7083129882,0.3061990543,0.6751166826,0.0424645376,0.1009175403,-0.0306474256,-0.0625347915,-0.0773493846,-0.0634848428,1.5453341795,1.1722488850,1.9973433444,0.9661113581,-0.0223981792,1.0085132794,0.3327972405,1.5892600333,Control
