@relation data

@attribute id string
@attribute 10189 numeric
@attribute 1025 numeric
@attribute 10250 numeric
@attribute 10302 numeric
@attribute 10621 numeric
@attribute 10914 numeric
@attribute 10919 numeric
@attribute 10978 numeric
@attribute 11051 numeric
@attribute 11128 numeric
@attribute 11178 numeric
@attribute 11198 numeric
@attribute 11335 numeric
@attribute 11338 numeric
@attribute 1477 numeric
@attribute 1478 numeric
@attribute 1479 numeric
@attribute 171568 numeric
@attribute 2068 numeric
@attribute 2071 numeric
@attribute 2074 numeric
@attribute 22916 numeric
@attribute 255626 numeric
@attribute 25885 numeric
@attribute 25920 numeric
@attribute 284119 numeric
@attribute 2957 numeric
@attribute 2958 numeric
@attribute 2959 numeric
@attribute 2960 numeric
@attribute 2961 numeric
@attribute 2962 numeric
@attribute 2963 numeric
@attribute 2965 numeric
@attribute 2967 numeric
@attribute 2968 numeric
@attribute 2971 numeric
@attribute 2972 numeric
@attribute 2975 numeric
@attribute 2976 numeric
@attribute 29894 numeric
@attribute 3012 numeric
@attribute 3014 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3021 numeric
@attribute 4116 numeric
@attribute 4331 numeric
@attribute 4686 numeric
@attribute 4774 numeric
@attribute 4781 numeric
@attribute 4782 numeric
@attribute 4784 numeric
@attribute 4799 numeric
@attribute 51082 numeric
@attribute 51362 numeric
@attribute 51497 numeric
@attribute 51585 numeric
@attribute 51692 numeric
@attribute 53981 numeric
@attribute 5430 numeric
@attribute 5431 numeric
@attribute 5432 numeric
@attribute 5433 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5438 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 5451 numeric
@attribute 54700 numeric
@attribute 55290 numeric
@attribute 55703 numeric
@attribute 55718 numeric
@attribute 55814 numeric
@attribute 5595 numeric
@attribute 64216 numeric
@attribute 6426 numeric
@attribute 6427 numeric
@attribute 6428 numeric
@attribute 6429 numeric
@attribute 6430 numeric
@attribute 6431 numeric
@attribute 6432 numeric
@attribute 65109 numeric
@attribute 661 numeric
@attribute 6617 numeric
@attribute 6618 numeric
@attribute 6619 numeric
@attribute 6621 numeric
@attribute 6749 numeric
@attribute 6827 numeric
@attribute 6829 numeric
@attribute 6872 numeric
@attribute 6874 numeric
@attribute 6875 numeric
@attribute 6877 numeric
@attribute 6878 numeric
@attribute 6880 numeric
@attribute 6881 numeric
@attribute 6882 numeric
@attribute 6883 numeric
@attribute 6884 numeric
@attribute 6908 numeric
@attribute 6917 numeric
@attribute 6924 numeric
@attribute 7019 numeric
@attribute 7270 numeric
@attribute 7307 numeric
@attribute 7343 numeric
@attribute 7469 numeric
@attribute 7702 numeric
@attribute 7936 numeric
@attribute 7978 numeric
@attribute 79869 numeric
@attribute 8106 numeric
@attribute 8178 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8335 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8342 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8350 numeric
@attribute 8352 numeric
@attribute 8353 numeric
@attribute 8354 numeric
@attribute 8356 numeric
@attribute 8357 numeric
@attribute 8358 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 84172 numeric
@attribute 85236 numeric
@attribute 8683 numeric
@attribute 8731 numeric
@attribute 8732 numeric
@attribute 8850 numeric
@attribute 8932 numeric
@attribute 8968 numeric
@attribute 9013 numeric
@attribute 9014 numeric
@attribute 9015 numeric
@attribute 902 numeric
@attribute 904 numeric
@attribute 905 numeric
@attribute 9150 numeric
@attribute 9295 numeric
@attribute 9328 numeric
@attribute 9329 numeric
@attribute 9330 numeric
@attribute 9533 numeric
@attribute 9785 numeric
@attribute 9939 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0691053609,0.2818591184,2.1681823783,0.3794181961,0.9404020906,0.7264637833,0.1621143985,0.7218687437,1.1175205051,0.5303733296,-0.0816528629,0.2681856059,0.4154196262,0.3695851408,0.4036974557,0.3441461113,0.6015944010,0.8751095352,0.4126746371,0.2471734286,-0.0270783590,1.0373011971,-0.2307704794,0.2008899247,0.2749951173,2.5066520214,0.2383359553,0.0906067842,0.7547164150,1.0509015229,1.1007672102,0.5599901921,0.4458390437,0.6988280033,0.0819270354,0.0983569717,1.3322381411,-0.1289890133,0.3483179564,0.7606322297,-0.1287246347,0.0161974231,0.1610933525,0.1641149604,-0.1465363897,1.4670737498,0.7007056799,-0.0370083206,0.1068485583,0.0289661476,0.2455779328,0.7370604590,1.1424762565,0.1926235092,0.9023981647,0.3468626249,1.0871329503,0.5403361991,1.0351600871,0.3008113966,0.5999198465,1.1703704466,0.9321065918,1.4741522832,0.9073006092,0.4790607486,1.7162887493,1.4991112350,2.0225933196,0.9153220130,1.7382117063,-0.0165305324,1.5159337057,0.5607672192,0.5806491123,0.4403497991,0.1455462070,1.1201675758,0.2477783495,1.4784801758,2.3190807279,0.9733185612,0.3865316956,1.3416862993,1.6944788505,0.6963510195,0.4166210344,1.2858133689,0.9719730245,0.3111625993,0.4638502066,0.2747552821,1.0767731421,1.8409826137,0.7013883383,-0.1583751188,0.4168757227,0.0728702907,0.3052451733,0.6343491939,1.0029649917,3.0581478050,0.5832996126,0.4173973020,0.3184341924,1.2010568232,-0.0085743026,0.2681113544,0.0603400616,0.2225184131,0.2084289877,0.1855863757,0.7519607245,0.0927583011,1.4982821048,0.2781774403,0.8989820143,0.6530126497,-0.0100709485,0.0246268740,-0.2231709503,0.3553737544,-0.1933629857,0.0283408618,-0.1696444741,-0.3652576960,1.2139868569,-0.2249349361,0.1060887620,-0.0618866741,-0.2208595851,-0.1380182276,0.0958017708,-0.1975113284,-0.3035109130,-0.0605594584,1.5740822702,-0.1526665466,-0.1589899574,-0.1141332120,-0.2000964821,0.4965385087,1.8797369344,2.5678223967,0.3452672266,0.3811536158,-0.0268846885,0.3524298521,-0.1430830629,0.4036247327,0.0706905396,-0.0055749377,0.5309962821,0.1495897983,0.1837325809,0.3470897116,0.9711980230,0.5065358529,0.3493576802,0.2185020257,0.5657953464,0.2502273962,0.0680761012,BRCA
GSM481003,-0.0253182346,0.3170060144,2.5195607544,0.3517999397,0.4884172179,0.5465789425,0.2756867607,0.5983451694,0.9834683038,0.5453837947,-0.0319601337,0.2428051696,0.3468847951,0.4528488815,0.3584768102,0.2892703949,0.4669693911,0.9287738163,0.4332668259,0.0809217530,-0.0804147359,1.0096748571,-0.0995545020,0.1597507681,0.3180362836,2.1167455291,0.2747887051,0.1846046733,0.4586253045,0.8243662465,0.8811046965,0.6384328385,0.6027689856,0.3816985116,0.0240194796,0.1887621529,1.1926867172,-0.1335824508,0.3985659242,1.0918472745,-0.0711997660,0.1060883546,0.2552056475,0.3800293926,-0.0865739334,1.3191383173,0.5865252294,-0.0238657131,0.1005977716,0.0318793237,0.4855110100,0.9577617148,0.9757657259,0.1098324762,1.1144299707,0.0524696277,1.0323216933,0.3768947047,0.8348504052,0.0904370771,0.6650603986,1.0737781454,1.1258171098,1.7355406609,0.9993794023,0.5170908664,1.9700247826,1.5653517170,2.5304655898,0.7923391349,2.0476801031,0.0030148447,1.4510201780,0.5922594726,0.2550790264,0.4804655812,0.0495739302,1.1333078442,0.1140609271,1.4753175675,2.4036977185,0.8561111836,0.2157254831,1.0989287590,1.4380235594,0.5505576841,0.6731371601,1.2927863710,0.5237538862,0.4026437846,0.5120745215,0.6076864262,0.7882243606,2.0315254160,0.9481514535,-0.0973149922,0.7153645026,0.0492603374,0.3918772508,0.8002846026,0.7616112100,2.8898250034,0.4728500716,0.3233149223,-0.0029849011,1.1262631044,-0.0295281976,0.1717919879,0.0654057382,0.2014533126,0.0631569126,0.2131552424,0.8649000473,0.4006176758,1.8260877788,0.2701507433,0.9501440716,0.8456756385,0.0480324989,-0.0312141031,-0.1838299978,0.4378308625,0.0066938657,0.0880178340,-0.1174313779,-0.2337862771,1.3998303744,-0.1828321580,0.7297547193,-0.0280412129,-0.0410411006,-0.2247661824,0.0258158691,-0.1275560706,-0.2576035486,-0.0278712263,1.6243316433,-0.0959158234,-0.1302471095,-0.1558812091,-0.1244455211,0.5047635508,2.1059510026,2.5338233512,0.2276208367,0.2005917288,0.1049233566,0.3876223696,-0.1522909300,0.5829416149,0.1213253029,-0.0037730851,0.4128580279,-0.1081982824,0.1101239932,0.5039523404,0.7247619758,0.7570509147,0.5381182506,0.1206053444,0.8373964438,0.3156702950,0.0854397345,BRCA
GSM481004,-0.1442091483,0.1961787696,2.2144345089,0.3835608540,0.5799007417,0.4823175897,0.4762653237,0.8338421376,0.9104029240,0.7126382003,-0.0916617166,0.2543577233,0.2763030573,0.4040109540,0.3852802885,0.3685975338,0.3619430714,1.1852693863,0.4885377014,0.1856753364,-0.0252161048,1.0246215303,-0.1493906880,0.3496965550,0.3147341433,1.9710562635,0.2367155888,0.1024241596,0.3359913605,0.7271636734,1.1675606072,0.6563029549,0.3990541024,0.5249313446,0.0484137601,0.2071125326,1.4711122722,-0.0884781298,0.5273486624,1.1449270243,-0.1151605864,-0.0567840724,0.2807794132,0.1060022848,-0.1186170864,1.1525689773,0.6946042993,-0.0298508255,0.1649254847,0.0095513759,0.7479002303,0.6901515832,0.8710173267,0.2361822424,1.1426664886,0.1320333723,1.0602912306,0.3969695438,1.0549450480,0.1586397824,0.7186753850,1.1400992890,1.2078082544,1.6407811478,0.9113441620,0.4213451779,1.9015568991,1.4534333797,2.2714820702,0.7345321434,1.6009336627,0.0229586864,1.3444873294,0.6041739289,0.6014087507,0.6111049382,0.0758696773,1.3982536542,0.0760181068,1.4993902982,2.1588361685,0.5997063398,0.2295430986,0.9689383405,1.4855710909,0.5555313906,0.4340115516,1.0716585033,0.7119561770,0.3790266969,0.4591325511,0.4125674458,1.1549242875,1.9329568788,0.9399759378,-0.1153269707,0.5872448813,0.1411118815,0.2843696062,0.8842598241,0.6844078890,2.9055919306,0.4223953024,0.3469175598,-0.0543811637,1.1409199387,-0.0313387048,0.1730690198,0.0435830034,0.2919702915,0.1359925068,0.2786558701,0.7176109668,0.2592973216,2.0567615808,-0.0649785273,0.9687311577,0.6517914247,0.0240948684,-0.0687609014,-0.2004013009,0.2733621369,-0.1230831062,0.0545795500,-0.1325402866,-0.2542063772,1.3872924977,-0.2065434763,0.1164287657,-0.0609750200,-0.1358614054,-0.1183370941,0.2666114681,-0.1806270615,-0.2849950774,0.0467720223,0.8057858777,-0.0718189793,-0.1819955058,-0.0097307051,-0.1943284474,0.6577509254,1.6748200314,2.1918783188,0.4519700314,0.2576836387,0.1233989452,0.4049353117,-0.1949390031,0.4952202008,0.0568320223,0.0750683996,0.5674291466,0.0648496179,0.0936003917,0.5099310074,0.5119394995,0.6496403288,0.5800961741,0.2273930795,0.9082585516,0.3453680476,0.0803506085,BRCA
GSM481005,-0.0468433468,0.2312076456,2.3728546180,0.6062972701,0.9651959386,0.8534353186,0.1880436059,0.8515057430,1.0075528436,0.5477521055,-0.0645457111,0.3036204162,0.3705053513,0.4362796585,0.5461834561,0.3473395409,0.9521984697,0.8842039306,0.3385402066,0.2276329494,0.1052167460,1.2153531407,-0.2388415747,0.1000552172,0.2763261263,2.8219110488,0.4807807191,0.1936575438,0.8805289233,1.1579132770,1.0909686759,0.5496870449,0.7022237635,0.8590674320,0.0543346737,0.0273029770,1.2018684231,-0.1100798833,0.3779709910,0.9809397744,-0.0525590630,0.5098942637,0.1837042271,0.8598089687,-0.1574911864,1.3080456899,0.6577546543,0.0502684904,0.1130938942,0.0977474294,0.7381457101,0.6446249071,1.0162978603,0.0736242673,0.8104518377,0.4205250702,0.8551217913,0.7264077647,1.1793394831,0.5990037357,0.7103806155,1.3566492122,1.0428239462,1.3264736316,0.8533831697,0.4386936296,1.7013532322,1.7193023414,1.9966017007,1.0200565478,1.9018808902,0.0753165837,1.8669466576,0.5788129494,0.7810026334,0.5129538703,0.2481229455,1.3712493853,0.1862968318,1.4095248038,2.3452316664,1.0282482820,0.3730256947,1.3238776285,1.6661459296,0.6095103803,0.7651773086,1.1193533224,1.1152127312,0.1953356357,0.7580393680,0.4046224895,0.7128599014,1.9409686073,0.7949799944,-0.1056181231,0.5506231701,0.1837407271,0.6400177626,0.7105728437,0.9815075132,3.0030772516,0.5575813177,0.4846579498,0.0773010736,1.1419735849,-0.0473553557,0.2787853548,0.0606340574,0.1688150965,0.0620059884,0.1171958767,0.7930941303,0.4564047952,1.1655263394,0.1125980710,0.9481949624,0.7308726152,0.0379513996,-0.0251017783,-0.1373093608,0.4687455306,0.0275919427,0.0008259980,-0.0423239601,-0.0883759458,1.6937473351,-0.1890569492,0.1895790119,-0.0318946082,-0.2182391343,-0.1373041902,0.3295036434,-0.1907114611,-0.2050848268,0.0098621138,1.3663021177,-0.0968339028,-0.1529178334,0.0491482120,-0.2236741393,0.4969510529,2.6436467850,2.4123151502,0.5650474451,0.3986517541,0.1257258946,0.3701634946,-0.1893335479,0.3850392658,0.0545405875,0.1309179795,0.7514979797,0.1384724636,0.3322150758,0.3941424043,1.1534348920,0.4579909998,0.3843451945,0.2405542826,0.7090634045,0.2283699544,0.0066198921,BRCA
GSM481006,0.4230375689,0.3828343561,2.5110739914,0.3870539733,1.0807759314,0.8952648365,0.2479284624,0.9228501600,1.0779877354,0.5011046692,-0.0408786258,0.4097449880,0.4046340377,0.5362404877,0.3424459612,0.1700651330,0.6601163745,0.8027723710,0.3733979295,0.2647651799,-0.1319896406,1.2330643007,-0.1899430801,0.1770868898,0.3404796169,2.4578073454,0.8074913803,0.0611016917,0.8063432573,1.1381052789,0.8399142101,0.4691815671,0.6386246402,0.6036217285,0.1995508763,0.1172757720,1.1208915222,-0.1583035912,0.3461016519,0.6158517157,-0.0935823583,0.0374262492,0.1324662248,0.1485142182,-0.1319707186,1.4519375870,0.8038135551,0.0267637424,0.1783356244,0.0773237019,0.7541978399,0.8698117026,1.1514364533,0.1475543399,1.1371770176,0.2569722161,1.0465143025,0.6415127247,0.8438593113,0.3763213245,0.5777717888,1.1537876290,0.8935009884,1.3338032147,1.1468729097,0.8161036820,1.9389057817,1.9559061824,1.9949334397,0.9471551222,1.5737857412,-0.0102211607,1.7812832660,0.6563510099,0.3455584514,0.4345050365,0.1829022182,0.9865753614,0.2308269910,1.4284482951,2.5175843345,0.9975525292,0.4575363824,1.5019727439,1.7480901119,0.7234830436,0.7057102702,1.1781731640,0.6471658892,0.2282091983,0.5635598806,0.2934444236,0.9647456812,2.0044503127,0.8953222914,-0.0899926591,0.7299188625,0.1150850698,0.3735145565,0.8356646830,1.0122438353,2.7181605953,0.7192454645,0.3771707124,0.1458438428,1.4694229141,-0.0143329772,0.1197459751,0.0976951655,0.1340477731,0.1546943626,0.3237613800,0.9448697371,0.2058660563,1.5889740884,0.0094086833,1.0546135070,0.7984130966,0.0517843087,-0.0123332784,-0.1750250149,0.4758446575,-0.1567926859,0.0330605503,-0.1689499374,-0.2111806627,1.1179114779,-0.2140485990,0.4279246480,-0.0791663056,0.0559406387,-0.1929914556,-0.0312277725,-0.1377965383,-0.2262882682,-0.0442795262,1.6556351582,-0.1406572771,-0.1752222799,-0.0644982730,-0.1070164733,0.5778273534,1.9187723229,3.1246594192,0.6003511826,0.2108625122,0.0823521426,0.3090319222,-0.1708170636,0.4272453969,0.1161836901,0.0185778157,0.8258214549,-0.0189708129,0.3595769097,0.4343439549,0.9116106446,0.3843088331,0.5179063217,0.2243367763,0.9082028208,0.5135702871,0.0230903994,BRCA
GSM481007,0.1623663035,0.6832120646,2.4698392707,0.5289726822,0.5043807208,0.7835943472,0.5069803679,0.8597726872,0.5897190204,0.2143322451,-0.0758722487,0.2240588535,0.5441549355,0.5322552802,0.3584121585,0.4131244013,0.1789125481,0.9310187200,0.4745502664,0.3188221376,0.0408298841,0.6055114323,-0.2155398693,0.0507915364,0.3275719494,2.1162088632,0.1432938852,0.1314855173,0.7956781611,0.6185048596,0.4002298619,0.8353145834,0.4642803039,0.4712725024,-0.1117293039,0.1932108493,1.0130910326,0.0130424617,0.4063655838,1.0074621283,-0.0784306758,0.3381176968,0.3203903169,0.7867859878,-0.0931832868,1.3635159487,0.8706902445,-0.0726720185,0.0551729373,0.0280187285,0.5421132847,0.9551371775,1.1108472168,0.0226076456,1.0532175887,0.4219846185,1.1305593047,0.4780596683,0.3868898150,0.0132244501,0.6028448843,1.1978196736,0.9925808908,1.1345281925,1.2312760055,0.5469112565,1.5477014357,1.8655931726,2.2120503649,1.2255379280,2.0267416139,-0.0177868003,1.2789359622,0.7259335222,0.3261864799,0.5056066930,0.1559692244,1.0516917631,0.1817961107,1.3354572439,2.5431630612,0.6588604643,0.1362342007,1.0647066104,1.0124593559,0.3544302837,0.7903427651,1.1521388887,0.6005244682,0.2572449758,0.3544752837,0.3245630407,0.6715528159,1.9746451209,1.0392575367,-0.1482739324,0.6721877849,0.2003353058,0.2188478281,0.7503083249,1.0569616092,2.9764111553,0.4060934352,0.2641590943,-0.0860239120,1.1679450347,-0.0187891697,0.0320397287,0.0539813211,-0.0803812939,-0.0023306366,0.2249596437,1.2045205105,0.2567978287,1.4429722457,0.2627294833,0.9669154271,0.9939541251,0.0334634161,-0.0119972509,-0.1371635652,0.5568984786,-0.0253265162,0.2829982446,-0.1586111263,-0.1898245050,1.6784483790,-0.1924743533,0.5127251381,-0.0651639275,0.0093211779,-0.1077840533,0.2391856851,-0.0964718033,-0.1732055302,0.0073161687,3.5371868410,-0.1541859770,-0.1491327826,-0.1350550213,-0.1067611652,0.6017660825,2.3134363549,2.8802151282,0.1709334125,0.1033708318,0.2182272296,0.3899408962,-0.1582691839,0.4759126300,0.2568324752,-0.0757035868,0.7083978821,-0.1066925913,0.2678608280,0.4682711159,0.7610879723,0.5843320852,0.3025022352,0.1934034227,0.9247528228,0.3789406850,0.0135610768,BRCA
GSM481008,0.1262025521,0.2128262815,2.4953933486,0.4262258773,0.7842137841,0.7487033231,0.4048423872,0.6489181088,1.2727073502,0.6201612264,-0.0691619440,0.5027728789,0.5694429873,0.6880615068,0.4525214483,0.3531551925,0.9180600927,1.0101404887,0.3531635934,0.3203204544,-0.0596024639,0.9540503333,-0.2181834099,0.2569300941,0.5386659035,1.0955589004,0.4369532046,0.1836562879,0.4085291569,0.9825936984,1.0172724797,0.6851009033,0.6192824858,0.4346267902,0.0583050080,0.3393358754,1.5403944785,-0.1086707249,0.5029049684,1.2032501411,-0.0938347546,0.9154669443,0.5998969950,0.5481134802,-0.1226839960,1.6990315356,0.8943132312,-0.0353264075,0.4425875269,0.0573880118,0.6053172252,0.8027800370,0.6950806596,0.1840349226,0.8337008117,0.1099073400,1.1621101443,0.6884886544,1.4127518031,0.1842078002,0.7579538683,1.2731039599,1.2073366213,1.9825742786,1.0815599343,0.4978935979,1.6882617438,1.5542730316,3.0121067630,0.9354278338,1.7811089233,0.1078828922,1.7060234083,0.5122101369,0.5569950314,0.7886105172,0.4769212884,1.0726860836,0.2231592341,1.7172652046,2.6804403838,0.9351165438,0.3569118761,1.0272567935,1.8660513505,0.6558467086,1.1289051437,1.1571573986,0.9094615578,0.4840538580,0.3874391883,0.6906833757,1.4259410570,1.7726336716,0.8410615484,-0.0448968701,0.7473594771,0.2809578223,1.0972871921,1.2251141302,1.2004337243,2.9143880094,0.4969488367,0.1495838914,-0.0849555681,1.1166355086,-0.0003887562,0.3071515047,0.1889537658,0.4281567056,0.1217955107,0.2014764800,1.0586141079,0.2836775640,1.5561003507,0.1257365553,0.9454634496,0.7783670237,0.0878890332,-0.0463387257,-0.2925999047,0.6013625317,0.0615768482,-0.0549650899,0.5062690814,-0.2672248097,0.7660754363,-0.1705716939,2.0106416814,-0.1168371566,0.1099055433,-0.1440167881,0.0663414250,0.1774500481,-0.2665644768,-0.0232069384,3.2372105320,-0.1612560281,-0.1783834669,-0.0342474212,-0.1577995002,0.6019344543,1.8969181947,2.3662276268,0.3449828172,0.3857194127,0.1388681734,0.3906955062,-0.1415819415,0.6931696385,0.3327424052,0.0475666686,0.4965368061,-0.0103712647,0.1872382089,0.3871683319,0.9074257014,1.1032716939,0.7119751669,0.3252434312,0.6630804169,0.2583947877,-0.0000289649,Control
GSM481009,-0.1590116615,0.1611118178,2.4700890461,0.2556946438,0.7772449198,0.7018771110,-0.0389166814,0.4841857602,0.8451046907,0.1949775058,-0.1583858572,0.2956599099,0.3252646394,0.2246791588,0.2839827201,0.1459855414,0.4860468146,0.5907674773,-0.2521326546,0.0021543601,-0.0483789007,0.8596650853,-0.3605719090,0.0061776342,0.1103223838,2.0480760540,0.5774719996,0.1179424838,0.4835997663,0.9025512821,0.4654669211,0.3922241374,0.5486693074,0.4665545274,-0.0902150421,-0.2240744946,1.0309740796,-0.2984827342,0.2791555830,0.5669506962,-0.2566015354,-0.2063659208,0.0127141514,-0.0182595884,-0.3125638199,1.1693859621,0.5061680235,-0.0664649450,0.1067313193,0.1075120928,0.3911206443,0.7122770952,1.0492138025,0.1501262300,0.6908349632,0.1982475371,0.5748636038,0.4703781568,0.5323178601,0.1887627899,0.3907827812,1.1732181000,0.6326582934,1.3352790693,0.6703982333,0.2487644386,1.6573938705,0.8164385689,1.6586243511,0.5219870231,1.2621933153,-0.0249134905,1.2917518151,0.3017203634,0.4249932566,0.4827055344,0.1062057845,0.7096309500,0.1265913753,1.3742297214,2.3355514135,0.8878175847,0.2178569052,1.2709521481,1.4856148720,0.3751002557,0.8031696115,1.0098809580,0.3417976816,-0.2701535014,0.2771222864,0.1338847859,0.6607011399,1.6472018999,0.5012962595,-0.2176044459,0.2659734973,-0.0322749298,0.4211244771,0.3041267951,0.9468902548,2.8520378044,0.5601938599,0.0518219231,-0.1462492339,0.8392247669,-0.0415214933,0.1279951617,-0.1059435054,0.0849281637,-0.0076648970,0.0243086812,0.6528678575,0.0266024937,1.2082738436,0.0680586510,0.6089381072,0.5449475865,-0.0719278159,-0.1218318971,-0.2860416448,0.4800772078,-0.1776974978,-0.3794409115,-0.3661115458,-0.3500940370,1.1533044229,-0.3368172988,0.1066484596,-0.0002095656,-0.3168277787,-0.2542872404,0.0468170099,-0.1851272884,-0.3894729002,-0.1331882514,1.1788357370,-0.1309013175,-0.2907145265,-0.3132265951,-0.2717883184,0.3708207787,1.4264991454,2.1725297768,0.2990854552,0.2550120979,-0.0191735655,0.3174928298,-0.3113939174,0.1284290637,0.0338893848,-0.0155784084,0.3113005406,-0.2685066176,0.1526366840,-0.1670236855,0.8547261768,0.0910844679,0.3422567091,0.1052538719,0.3087187416,0.1227846844,-0.1097762479,Control
GSM481010,0.0649166519,0.2788646139,2.2768309840,0.5914731861,1.2062191218,1.0669361954,0.3184873744,0.8147578198,1.3124864888,0.5648343187,-0.0550802723,0.5780282409,0.4538512909,0.3558978959,0.4577565665,0.3919165814,0.7741191900,0.9318340829,0.3869085910,0.2743913706,0.0302944645,1.2347107639,-0.1332026081,0.2350251254,0.3211395251,2.1365885854,0.5491992806,0.2395316256,0.9532468469,1.2086761862,1.4036198706,0.6619493134,0.8299167638,0.8621499950,0.0677283619,0.2553931049,1.4528564033,-0.0854247451,0.3851960848,0.8343261912,-0.0368444685,0.4404737436,0.2414819994,0.7670232224,-0.1308241707,1.4456052911,0.7004111218,0.0522999922,0.3337012409,0.1469862996,0.8859856804,0.7049060041,1.0597935360,0.1460885780,1.0638414165,0.3978421016,1.0058349482,0.5173195869,1.3029100559,0.3755690165,0.5453053902,1.5307855830,0.9316960965,1.5254069404,0.9289203385,0.4621615706,1.8113816211,1.6379111709,2.1416127816,0.9562062303,1.7091990142,0.0925681908,1.9616431992,0.4691716812,0.8829263728,0.5626336970,0.2656956442,1.1154199801,0.1376355067,1.4025268872,2.2834570443,1.2162039799,0.3371837019,1.2114879707,1.8824565069,0.8588459837,0.4199728761,0.9371940070,1.2952281460,0.2769323249,0.7604526246,0.2939020694,1.2189751758,1.9556708592,0.8723000284,-0.0432222268,0.4745809243,0.2429058418,0.6081705928,0.5712917046,1.2568792252,2.9373107467,0.4888918611,0.4420024807,0.2379431982,1.2852867135,-0.0513252624,0.2891912951,0.2942495741,0.5060905564,0.2466053816,0.2028940119,0.6552313723,0.4909799843,1.7523162187,0.3390269227,0.7816018125,0.7255872915,-0.0223161903,-0.0623482694,-0.1207127860,0.3806031615,-0.1318908181,0.0888760539,-0.0678927478,-0.0797106948,0.9594205917,-0.1019218472,0.7576561866,-0.0604148237,0.0364879742,-0.1815124412,0.3065140411,-0.0934153136,-0.2800677597,-0.0797623627,1.5952028683,-0.1371558101,-0.0971923609,-0.0573654344,-0.1552023621,0.6456532692,2.2064512969,2.6005667847,0.7326965734,0.4347063202,0.4289276646,0.2673987474,-0.1034342253,0.4168771544,0.1487852536,-0.0888379365,1.1656297360,0.1603134471,0.3003089569,0.4145647426,0.9075671798,0.5858253958,0.6143140831,0.3850827686,0.8195864373,0.2490248987,0.1227407649,Control
GSM481011,0.1237177973,0.2223899704,2.1620018246,0.3425336482,0.6460539483,0.5835278001,0.3495679153,0.7493110476,0.8249668830,0.4644886757,-0.0266778772,0.2206045077,0.3164172291,0.5476563195,0.2616787657,0.2880337544,0.5658920869,1.1175465656,0.7533496341,0.0953976019,-0.0180160676,0.7105927217,-0.2826960003,0.1727465264,0.3682506146,2.7850921774,0.2210800921,0.1951110267,0.4027502070,0.7280937658,0.4456378898,0.7387057178,0.3450502634,0.3670035432,0.1960499127,0.1669592507,1.1947131990,-0.1201917037,0.3648047126,0.9786180860,-0.1762223616,0.5273724443,0.2785895259,0.4830070840,-0.1665100569,1.1239693074,0.7834670788,0.0150719955,0.1074369706,-0.0133523427,0.2879132782,0.9922945279,1.1048182055,0.0993289581,0.8355024279,-0.0215507355,1.1016098857,0.6270076880,0.7800927070,-0.0023761187,0.7055492616,0.9410156570,1.2711931691,1.2921597741,1.2070852319,0.7072479838,2.0018711016,1.7775148304,2.3741526338,1.2171910213,2.2196026619,0.0309312827,1.2621145646,0.8300503614,0.3184439989,0.4036354136,0.1690568440,1.5733309313,0.1541943947,1.5019745964,2.5557495425,0.8068735233,0.1420832007,0.9796144890,1.1677079415,0.5072746012,0.6275396393,1.1976552494,0.6309351083,0.4285984766,0.4443667033,0.3738085778,0.6372728239,2.0083358542,0.8796784953,-0.1380161169,0.3788965333,-0.0021427302,0.3106789259,1.0169320570,1.0467387270,3.3159812860,0.5623153693,0.3627227369,0.4031923678,1.0673799255,-0.0317229251,0.1000537639,0.0590013236,0.0874309536,0.0468691642,0.1825215752,0.8371503940,0.0212947806,1.4570967197,0.0588148783,0.8231259079,0.7553722745,0.0415431281,0.0477887409,-0.2196771970,0.6019238684,0.0594459338,0.0082199266,-0.1424696199,-0.2306545576,2.8112588989,-0.2467886429,0.5941136267,-0.0609560736,-0.2141863677,-0.0914730104,0.4443862954,-0.2146754287,-0.2618425191,0.0937771787,2.6116771400,-0.0959255094,-0.1878992559,-0.1128439829,-0.2375404804,0.3552309740,2.9778335094,2.6921359302,0.1797329516,0.2938580540,0.0164806859,0.4261966193,-0.2174393460,0.5406575633,-0.0242365888,-0.1443114899,0.7662111923,0.0191172443,0.0642820814,0.4988409599,0.7776358082,0.6145485975,0.4198022883,0.2066645625,0.5723968971,0.2665739353,-0.0639266614,Control
