@relation data

@attribute id string
@attribute 10991 numeric
@attribute 11136 numeric
@attribute 11254 numeric
@attribute 117247 numeric
@attribute 121260 numeric
@attribute 124935 numeric
@attribute 140679 numeric
@attribute 153201 numeric
@attribute 160728 numeric
@attribute 206358 numeric
@attribute 23428 numeric
@attribute 23657 numeric
@attribute 246213 numeric
@attribute 26503 numeric
@attribute 340024 numeric
@attribute 348932 numeric
@attribute 51296 numeric
@attribute 54407 numeric
@attribute 54716 numeric
@attribute 55089 numeric
@attribute 55117 numeric
@attribute 56301 numeric
@attribute 57030 numeric
@attribute 57084 numeric
@attribute 6505 numeric
@attribute 6506 numeric
@attribute 6507 numeric
@attribute 6509 numeric
@attribute 6510 numeric
@attribute 6511 numeric
@attribute 6512 numeric
@attribute 6519 numeric
@attribute 6520 numeric
@attribute 6528 numeric
@attribute 6533 numeric
@attribute 6539 numeric
@attribute 6541 numeric
@attribute 6542 numeric
@attribute 6564 numeric
@attribute 6565 numeric
@attribute 6568 numeric
@attribute 8140 numeric
@attribute 81539 numeric
@attribute 84889 numeric
@attribute 8501 numeric
@attribute 9056 numeric
@attribute 9057 numeric
@attribute 92745 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.836309985,7.110929882,5.768456458,7.457424231,10.0606202665,9.538005127,5.45451419,5.135464327,8.246171869,6.59171354,6.60059810433,5.468103682,5.238988625,6.057131398,5.331285345,5.461406798,10.74699733,10.44103033,5.62576092033,5.338612717,5.27337129767,11.44759484,7.232999148,4.772692515,6.455167425,5.586773185,10.16928652,7.821265561,10.20782,5.044843524,6.175929354,5.006535067,9.160287724,5.26866948,6.513534664,6.764278222,9.231413882,6.89168173167,4.797027644,6.086142197,5.118745153,8.325497867,8.4321714995,7.383212224,5.823629162,9.470273049,7.9841253975,6.307888971,Control
GSM427159,6.13986403,6.754958049,6.120295558,5.902442197,10.2428198145,8.844228023,4.234269411,6.060593939,9.392012066,6.86647878,6.36561548567,4.948847562,4.937593039,6.012351476,5.091500179,5.488009811,10.39118749,10.6865533,5.512693792,5.148437177,5.252763136,10.19564323,6.068999232,4.21308329,5.659433149,5.563242994,8.388362979,7.923834234,9.978221063,5.239561536,5.652207716,5.469081112,9.20400973767,5.428620839,5.722746919,6.57376504,9.751209759,7.00319414967,5.804719114,5.943517738,5.291687581,8.538694442,8.9253394725,6.1813244865,5.968327676,9.175650046,8.024133975,6.001414528,BRCA
GSM427160,6.693490878,7.364837496,6.009611007,7.405718266,10.298634515,9.322863923,4.678655626,4.838713892,8.731294526,6.58736921,6.60124077833,4.584732512,4.774274953,6.095402957,4.933585915,5.527329405,10.46466855,10.20351353,5.10930094267,4.933585915,6.04030035,7.329933371,6.921278994,5.579701547,6.245890761,5.527329405,8.430505998,7.42286607,9.798739548,4.768993337,6.124127129,5.90202005,9.84281731133,5.249645622,6.045110507,5.823119603,10.30654055,6.87575352033,5.258529523,6.575430048,5.088959125,9.659657526,9.085443246,6.9450369845,5.641120592,9.388921983,6.725819356,6.296416681,BRCA
GSM427162,5.863140121,7.009719816,5.868397398,7.882843431,10.067999143,9.315614414,4.766080198,5.057029153,9.488342842,6.135766351,6.65095194133,4.482788153,5.193979903,6.047784427,4.978894894,5.397812585,10.49035982,10.93087057,5.62948878067,4.628224624,5.50990679433,9.826322502,7.499688706,4.700180125,6.018929689,5.78869305,9.457976471,8.270366729,10.40696526,5.114378737,6.574181472,5.028139516,8.76121365867,5.446761787,6.350944152,5.767662245,10.13087976,7.21005095867,5.182703468,5.490579154,5.134643221,8.869671817,8.3654007935,6.292631352,6.171732872,9.091145182,7.015392628,6.239937982,Control
GSM427163,7.349217359,6.868733444,6.449359668,6.890693297,10.464813275,8.99900014,5.518229233,5.919108385,8.318227715,7.483415001,6.72271790267,4.911705061,4.801431976,5.87289723,5.014814152,5.846249617,10.28358647,10.47438056,5.743107481,4.815846004,5.66717945833,9.697098373,6.712427693,5.050187406,6.667115534,5.455665247,8.963128094,7.087465825,10.51902709,5.278366982,5.593959684,5.731598207,9.51717962767,6.29131404,6.097300677,5.887775801,10.16846564,7.01080141967,5.368603583,6.84856387,5.476714818,9.002154772,9.164193504,6.613433919,5.617879735,8.762549077,6.634522856,6.276874062,BRCA
GSM427164,5.684966848,7.016922821,6.091917306,7.964053636,10.632964645,10.0034902,4.699347423,5.527329405,7.579393492,7.590102562,6.509119171,4.985513237,5.036295892,5.756763955,5.476714818,5.226326687,12.17821986,10.864964,5.778198725,5.30196368,5.559406031,9.061101886,6.440541669,4.738513493,5.880692411,5.206341637,8.931122442,7.870643868,10.13811214,4.950248224,5.759695977,5.178725843,10.3886318853,5.353244986,6.448203566,6.545354989,10.20922218,6.82678924,5.144465785,6.604965038,5.214330049,10.40145051,9.164636678,6.513472806,6.153405728,10.02441981,7.7016899055,6.095772153,BRCA
GSM427165,6.003271234,6.899511381,5.630093262,6.561941354,10.435382065,9.228867456,5.219373048,5.28356184,10.26227726,6.952074702,7.158489434,5.10140977,4.615929054,5.705709271,5.009001383,5.51191964,11.18055585,11.79461296,5.613409385,4.700735,5.46829707167,6.440500143,8.18992476,4.981180512,8.591897347,5.544509535,9.445372435,7.793962719,10.51325413,5.520352508,6.725676834,5.564234295,8.66957255133,4.927198693,6.162699096,5.451550105,10.63456176,7.77330459767,5.292976103,6.067010094,5.003839723,9.182345388,8.9051426025,9.0743497145,5.38008113,8.688058921,7.1628441385,6.695858571,BRCA
GSM427166,5.334149236,7.570446091,5.77400374,7.2875303,10.0759846315,9.086402392,4.091454519,5.297935366,7.10473273,6.119880723,6.34760938233,4.440622372,5.491621645,5.703080794,5.517599514,5.431465218,10.58638973,10.46257413,5.125380425,5.487205952,5.56641064433,8.93734522,7.31134218,4.877267261,5.741879005,5.699614961,8.561384495,6.995289824,9.940739781,6.110097626,6.174182303,5.5893225,9.34830377267,5.102039992,5.948315392,6.518460881,9.622747882,6.66575842133,5.179721278,6.187357641,5.149148835,9.053437973,9.40253065,7.062583581,5.814365364,9.716982805,6.747602003,5.931807875,Control
GSM427167,5.065239741,7.191752936,6.74994022,7.689755391,10.316256695,9.398503824,5.466799412,5.349622922,7.753619786,7.025198058,6.691921469,5.706952669,4.813026019,5.743764871,5.015037253,5.714802736,10.26927314,11.04873907,5.568093651,4.980952113,5.44818430667,7.914237304,6.542920132,5.085988894,6.264635533,6.110463081,8.391932143,8.586221609,9.969494854,4.542894537,5.839966671,5.463860485,9.88719094933,5.057570761,5.572973961,5.210049084,10.3910344,7.37354745233,4.876039551,6.546667333,4.904377216,8.764623762,9.496222122,7.516571771,5.998653184,9.158850196,6.537469927,6.204772251,BRCA
GSM427169,5.992208309,7.51975639,6.268944869,6.983110824,10.39550152,9.276194866,5.181511332,5.679206489,9.245018504,6.518578904,7.17848648167,5.320314304,4.435394156,6.187011156,5.181511332,5.828143626,10.03057097,11.06141864,5.24527302333,5.388199225,5.77867082433,11.50955249,6.329935892,5.527954892,5.778347403,5.790974804,9.320462748,8.93949189,10.65984455,5.871604195,5.797150007,5.891608291,9.31708568633,5.168332398,5.598879718,6.878728789,9.785085055,6.406872431,5.044406414,5.720286161,4.308599443,8.276684068,9.718061075,7.1078051205,6.049636893,8.932222966,7.327479922,5.992208309,BRCA
