@relation data

@attribute id string
@attribute 1017 numeric
@attribute 10197 numeric
@attribute 10213 numeric
@attribute 1026 numeric
@attribute 23594 numeric
@attribute 23595 numeric
@attribute 4171 numeric
@attribute 4172 numeric
@attribute 4173 numeric
@attribute 4174 numeric
@attribute 4175 numeric
@attribute 4176 numeric
@attribute 4998 numeric
@attribute 4999 numeric
@attribute 5000 numeric
@attribute 5001 numeric
@attribute 51343 numeric
@attribute 5682 numeric
@attribute 5683 numeric
@attribute 5684 numeric
@attribute 5685 numeric
@attribute 5686 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 5690 numeric
@attribute 5691 numeric
@attribute 5692 numeric
@attribute 5693 numeric
@attribute 5694 numeric
@attribute 5695 numeric
@attribute 5696 numeric
@attribute 5698 numeric
@attribute 5699 numeric
@attribute 5701 numeric
@attribute 5702 numeric
@attribute 5704 numeric
@attribute 5705 numeric
@attribute 5707 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 5717 numeric
@attribute 5719 numeric
@attribute 5720 numeric
@attribute 5925 numeric
@attribute 81620 numeric
@attribute 84515 numeric
@attribute 890 numeric
@attribute 8900 numeric
@attribute 9491 numeric
@attribute 9861 numeric
@attribute 990 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.5834629533,1.7593188546,3.0705487729,2.1393974684,1.4587505585,0.8791963657,1.3337336816,1.0510258443,1.2537769670,0.8055090325,1.5176213086,0.6870918091,0.5549384468,1.5400457291,1.3579724659,0.3267498687,0.1737447883,2.2073402414,1.8006257919,0.7097291802,2.9412509601,0.3913682441,2.9388146252,1.9019856943,1.2583440552,2.2415560880,3.7269645849,2.6642370224,2.0618758600,1.5838720549,1.0434957966,0.1622273526,0.8584559786,0.9876390278,0.8556338059,1.7747724253,2.3314954341,2.4640681253,2.0613655445,0.6910933228,1.1590418604,1.4673050791,0.3878368930,2.2083607513,1.4262807779,0.8661886280,1.6020574199,1.9667338198,1.9308002658,0.9448039957,0.6817223376,0.4285908454,1.6817836165,2.6403919459,1.5399761489,1.2636217729,0.8104688178,BRCA
GSM480985,0.4411996799,1.0737894159,2.3746759741,2.2990302591,0.4213877240,0.6842736007,0.4032707661,0.4489500689,0.5542963552,0.1633400979,0.5804464952,0.2274582597,-0.0440001544,1.1292166882,0.9880057346,0.2193341339,0.1581000570,1.9675475846,1.3080146634,0.6447591107,2.6366691590,0.2405135073,2.1245409846,1.7676415873,1.0201265613,1.5213540000,3.8218628408,2.2097178697,1.5911949210,1.2645772577,1.1899532302,0.6939739012,0.8885713741,0.7663843195,0.3498222147,1.3107205862,1.9363897890,2.0477833116,1.5865950387,0.3985210825,0.9361137499,1.3377952331,0.3240292655,1.7433454197,1.1472269632,0.8193743725,0.9107755365,1.4204570089,2.0249512593,0.7302493976,-0.0266633678,0.1589688681,0.7499990808,0.8917953896,1.1520689110,1.1188458664,0.0094452356,BRCA
GSM480986,0.4792193069,1.8491583764,2.8595618605,2.2193307467,1.0435359898,0.4364681643,1.0531638674,0.6626453732,0.9671875484,0.7758766384,1.0020962506,0.4565839842,0.3006181142,1.4037100283,0.9499224950,0.3449784663,0.1896881072,2.0185471616,1.5925446658,0.4961553135,2.7614941466,0.2536827037,2.8320338726,1.7564823548,1.1450107998,1.9008631310,3.8489695709,2.6748867483,1.8237879276,1.4507928061,0.8309021704,0.2029656323,0.9676624611,0.8575561165,0.5596497871,1.8286897210,2.2213526815,2.6071301067,2.2693831920,0.6759793310,1.0260378638,1.3178322236,0.3632296386,2.0609956980,1.5441710017,0.7495514079,1.2397070136,1.7497033941,1.9915900364,0.8574318311,0.5245128386,0.2655783963,1.5696210822,2.1455776392,1.5674212921,1.1291056564,0.4188582972,BRCA
GSM480987,0.4050084262,1.7688858435,2.8639203607,2.7037154810,0.8970002753,0.3747971260,1.2449252714,0.8615824582,1.0684957298,0.7682668753,1.2835077829,0.4381454373,0.3179577874,1.0423067970,0.7834857352,0.2964313886,0.0535621674,2.1830363299,1.1467354411,0.4725399185,2.8822536202,0.2460166967,3.0399624704,1.7245372396,1.1122580485,1.8721716803,4.1376752855,2.8045297413,1.5132337742,1.5806218573,0.7913747263,0.6498941136,0.9045703037,0.7773260902,0.4109195821,1.8626209431,2.1181592641,2.4234962184,2.2019174297,0.5670724790,1.0121421953,1.3204048381,0.2886954858,2.3301489353,1.7020493485,0.8017072354,1.0597597286,1.5147223439,1.8858662712,0.5479266424,0.4920183620,0.1658736350,1.2385944406,0.0406964951,1.3824992103,1.0777177316,0.4455796608,BRCA
GSM480988,0.4529012942,1.8225000948,2.9258421065,2.3901760505,0.7446842368,0.6582257350,1.1690687350,0.6748901606,0.9255933917,0.8383731378,1.2128899024,0.1956678532,0.4079725579,1.0918431122,0.8406549964,0.2886495519,0.0284037585,2.1585000711,1.2574726573,0.5656251633,2.5555683244,0.2439208655,2.0399914459,1.5017216142,1.0128488662,0.8926516573,3.6417503199,2.4234132768,1.2435510490,1.2748121728,0.5176818755,0.2469822872,0.5112905699,0.9155785242,0.2854670190,1.7320428490,1.9390811474,2.9703062001,2.2876025440,0.3214548384,0.7253218794,1.2627856149,0.2664544750,1.8447708287,1.1882866008,0.6402117280,1.1759281231,1.0644178142,1.9116452998,0.6159016014,0.3898979847,0.1878929090,1.2608292976,2.0835959615,1.1562894400,1.0202307156,0.4772084771,BRCA
GSM480989,0.6269943672,1.9073935897,2.0497237445,2.7720669135,0.8035477820,0.0431882983,1.2384311929,0.7821060816,1.0466080130,1.0504301878,0.6907358888,0.4415526911,0.2733726352,0.9103897145,0.4962596271,0.1616830429,0.2027591340,1.8589254519,0.9485145487,0.3611434739,2.2959700957,0.1926976523,2.9647475331,1.5194761063,1.2173278549,2.5915988287,4.5057553927,2.6381588131,2.0860008928,1.6970876416,1.3166937233,0.4767502910,1.5596292094,0.6635153531,0.8440375627,1.8526001043,2.1095351127,2.0516980396,2.3302920460,0.7212230265,0.9553307191,1.2426151514,0.2508438974,2.3379210630,1.7375720107,0.5485009588,1.1067867132,1.9378589523,2.4617627858,0.4999280601,0.7220828517,0.1145023524,1.1814149326,1.6657413244,1.6353111883,0.8638154286,0.2576770852,BRCA
GSM480990,0.5995322283,1.9044463635,2.5034759937,2.7343542910,0.4389587243,0.1304717187,1.1476575286,0.6876053480,1.0239739268,1.0129323429,0.5154319747,0.2801729159,0.2982221197,1.0234662261,0.5144111839,0.2123258120,0.2399371891,2.0271611329,0.8501380980,0.3823457347,2.3948051927,0.1904167056,2.8774783389,1.4347388300,1.0848612408,1.7423893210,4.5048998354,2.6800882520,1.7278615104,1.5994681015,0.6955706701,0.2217045019,0.9081680514,0.6389651656,0.5100831413,1.8075009120,1.9555052741,2.1912706249,2.6141268810,0.7104415091,0.9665051731,1.2673510688,0.2353488549,2.4668089150,1.6946846508,0.5301729460,1.1464720816,1.7035875950,1.7466791339,0.8644990985,0.5513091742,0.2067458208,1.1697059685,0.7692230827,1.4963267980,0.8947838340,0.2656607394,Control
GSM480991,0.2669265534,1.7922020852,2.5254729390,2.7373882608,0.4027385712,0.5699715713,0.6427016890,0.3830136940,0.8048010042,0.5309293339,0.3755929059,0.0986593564,0.0889896469,0.9371337671,0.6741360988,0.2044146519,0.2138990320,1.8563768306,1.1478258233,0.4257154862,2.4562734896,0.2123464005,2.7812048569,1.6106534052,1.1927282117,1.8416862883,4.0195023060,2.7262809576,1.7762824299,1.3942010023,0.9840603023,0.4666677879,1.2104553805,0.5619151303,0.5117781859,1.8001384040,2.1972816589,2.1859802290,2.3295708100,0.7090388426,0.9844841587,1.2376323867,0.2870655284,2.3132479590,1.4966919869,0.7394488404,1.2476795501,1.6545095873,2.1818544863,0.7603944621,0.2379688147,0.0095469098,0.7371242370,2.1327344180,1.6275674124,0.9661887334,0.1121864724,Control
GSM480992,0.4398213812,1.9878609218,2.2633216233,2.7673748358,0.3415904343,0.1949512140,1.2842768802,0.5584979822,0.8970973682,1.1872844753,0.4406894916,0.4813109728,0.2454735442,1.0247392775,0.4455925808,0.1157809587,0.2538321219,1.9470665303,0.7617480983,0.3720775344,2.0802210038,0.1049487142,2.5421525538,1.4351751020,1.2153816159,1.9397900107,4.3413267137,2.7089334876,1.9553286831,1.3022716794,0.9964155780,0.2011608248,0.9354733041,0.3648373661,0.6415492041,1.8337168824,1.9498871939,1.9373889181,2.4435079693,0.8453843741,0.9653077245,1.0807630825,0.3092850267,2.3749431373,1.3819751292,0.5512549343,1.1383788195,1.5750498077,2.2309278118,0.8413598781,0.8659412200,0.0990161895,1.0840547086,1.4710577726,1.6904229138,0.9245691404,0.2286991815,Control
GSM480993,0.6524033558,1.8616356552,2.3908473255,2.7103066743,1.0328789352,0.2439083853,1.5053302049,0.9177788761,1.1220162888,1.2946975223,1.1605138183,0.6991254000,0.4953490368,1.1828509866,0.6681712095,0.1734232856,0.2040139704,1.8764149353,1.1152045637,0.4715218885,2.3538808954,0.2072038372,2.6720158680,1.6913663838,1.2243270863,1.9234234890,3.9878728708,2.6524897961,1.8181509573,1.4848391836,1.2876011059,0.6328711621,1.0396554694,0.6283735601,0.5177623539,1.7456921671,2.1369374991,2.2438349653,2.3053646883,0.6424581836,0.9897042004,1.2571674703,0.3338063993,2.1276670697,1.4768432305,0.7040909280,1.2577366306,1.6345224711,2.3526830144,0.8349784980,1.1068584707,0.1611754498,1.5817800603,1.8889057636,1.5453341795,1.0085132794,0.6276240052,Control
