@relation data

@attribute id string
@attribute 121504 numeric
@attribute 126961 numeric
@attribute 128312 numeric
@attribute 255626 numeric
@attribute 3012 numeric
@attribute 3013 numeric
@attribute 3014 numeric
@attribute 3015 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3020 numeric
@attribute 3021 numeric
@attribute 474382 numeric
@attribute 54145 numeric
@attribute 5595 numeric
@attribute 653604 numeric
@attribute 7343 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8334 numeric
@attribute 8335 numeric
@attribute 8337 numeric
@attribute 8338 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8341 numeric
@attribute 8342 numeric
@attribute 8343 numeric
@attribute 8344 numeric
@attribute 8345 numeric
@attribute 8346 numeric
@attribute 8347 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8350 numeric
@attribute 8352 numeric
@attribute 8354 numeric
@attribute 8355 numeric
@attribute 8356 numeric
@attribute 8357 numeric
@attribute 8358 numeric
@attribute 8359 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8362 numeric
@attribute 8363 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 8370 numeric
@attribute 85236 numeric
@attribute 8932 numeric
@attribute 8968 numeric
@attribute 8970 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.823629162,5.50383468,5.118745153,4.663367841,6.080503777,5.174537499,7.8736305755,12.06323168,7.428939017,5.155031965,14.592922175,12.84903075,5.213358218,9.603728853,11.634256725,6.035630095,6.89133739275,5.536217098,6.051867589,8.487007054,5.434637608,10.55455797,10.76039169,6.680046949,4.871364705,5.279853137,6.49377991,6.139557107,5.139767484,5.264922245,4.708204487,5.568040657,5.261729425,8.440029384,6.922498552,5.002265111,6.468262051,5.802717488,5.478900032,5.957224679,5.805622164,5.952107108,5.257964097,5.169936271,8.127196202,6.059945345,14.05593823,7.01480474,5.68566776,6.730643776,4.668481241,6.917524621,12.04345466,5.85490842925,5.507248571,9.079385528,Control
GSM427159,5.808134829,5.115003321,5.096779711,4.173910121,5.730104109,4.964758163,7.8908509875,12.24301336,6.353301929,5.110416751,14.737138445,12.8865864,4.663367841,8.215303806,11.27623323,6.48510929,6.63711005125,5.157863534,5.576228285,6.276594949,5.580530872,8.9788285505,9.674329611,5.789606185,5.323740468,5.331285345,6.432128971,5.36458228,5.076613872,5.076613872,4.905220009,5.70044752,5.124960054,8.322132227,5.915587375,5.605858198,6.093502736,5.776374632,4.584732512,5.46091556,4.998208198,5.385785842,4.689877288,5.268108014,6.839868676,5.817246707,13.96600025,5.776374632,5.919108385,6.170531632,4.881923051,6.546165695,11.42963442,5.40820526,5.810964386,7.646272708,BRCA
GSM427160,5.583918611,5.407702206,4.628224624,4.950248224,6.272308437,4.558389106,8.4900776405,12.53965448,7.52248330367,5.16953547,14.75973063,12.77284039,4.419595675,9.670085752,11.198356615,6.165314669,6.88471708825,4.720021333,5.316879984,8.190863129,5.757030749,9.582685718,9.896635567,6.451215749,4.919591852,5.202624638,6.236545833,5.583918611,4.933585915,4.919591852,4.47893856,4.971786376,5.001702332,8.532999807,6.272308437,5.59156816,6.311708018,5.690704299,5.312711681,5.403788568,5.028581582,5.042218873,5.144669712,5.066316611,7.800286988,5.395243853,14.10257573,6.079650777,5.598879718,5.995434345,5.245658467,7.132579734,12.29684318,5.55725126475,6.056156059,8.797792112,BRCA
GSM427162,5.332538997,5.254944744,5.693773551,4.667062321,6.528106825,4.916490079,8.530230259,12.30321003,6.90529433767,4.766080198,14.722206265,13.2433667,4.748208435,8.044122393,11.274247985,7.123296633,6.73656485675,5.689726348,5.859106883,6.408122185,5.182703468,10.5173890535,10.88094205,6.311526388,5.438135838,5.229406468,5.89251929,5.438135838,5.377480603,5.450890591,4.608266403,4.938534277,5.01682082,9.896446364,6.629251419,4.910026549,6.217042247,5.776111392,5.579475285,5.391983545,4.893861206,5.554290497,4.814821191,5.352274105,8.863443805,5.850631456,14.49088818,6.090118375,5.916363929,6.701137054,4.366293438,7.152338403,12.79374357,5.4982994775,5.78869305,4.92244912,Control
GSM427163,6.139403622,4.805822905,5.406342144,4.91887665,5.776374632,5.057679059,8.185466732,12.39294532,6.983161939,5.17473722,14.78905083,12.78963253,4.927672792,9.171627882,11.21839075,5.930034295,7.07141316575,5.297935366,5.291135005,7.142926798,4.985285523,9.383214294,9.72142441,5.957921126,5.025484272,5.689866096,6.718844926,5.65593226,5.029244428,4.649642211,4.734183662,6.022207581,5.297935366,8.186907968,6.391506215,5.718917257,5.866173125,5.908039034,5.249266367,5.391468086,5.014814152,4.972360944,5.241660263,5.133924369,6.890693297,5.403788568,14.08054111,5.148335483,4.870871734,5.759829109,5.213747029,7.365100051,11.858053,5.50034781475,5.749273627,8.821312505,BRCA
GSM427164,5.214330049,4.980495207,5.36773034,5.46712559,5.545359333,4.900638916,7.6042942415,12.29242381,6.330174048,4.972360944,14.16263594,13.44437567,5.401742447,8.035817876,11.07534033,5.943107442,6.98730767525,5.163308771,4.769786816,7.455781587,5.427783188,8.316796841,8.508201951,6.195057794,5.241850906,5.234397132,6.237741162,5.440131024,5.249266367,5.075972442,5.062436111,5.625863148,5.515077886,8.772645411,6.224296576,5.148742216,5.424175738,5.857863615,5.313256056,5.492182674,5.377480603,4.862465343,4.925775462,5.447257868,6.326794047,5.080669653,12.24753009,6.261065912,5.804912672,5.109685724,4.985513237,6.331549038,10.93481154,5.670428054,5.673988298,7.866569768,BRCA
GSM427165,6.053334703,5.567888595,5.36650691,4.867169068,6.194663913,4.732013908,8.160140768,11.25779165,7.23571497,5.744303238,14.920806015,12.61604227,5.046808884,7.601810012,11.151396135,5.814301269,6.89760154625,5.149758548,6.488889022,6.658144078,5.391983545,9.692660621,10.66841992,6.5560888,4.595204309,6.117700885,5.971607496,6.13566376,5.579701547,5.650629048,5.213941395,5.899484569,5.460260315,8.33257494,6.046584505,6.239078755,6.430289978,6.883746426,5.337721125,5.579701547,5.920240442,5.077041333,5.114586962,4.93712219,8.740068382,6.149549624,14.7817055,7.246291987,6.62585904,8.870627591,5.139972076,6.893972281,13.074006,5.622363499,5.135259094,6.097827379,BRCA
GSM427166,5.929442617,5.517599514,5.844744204,4.835559392,6.264072495,5.2209212,7.787027341,12.45804007,8.36211980967,5.346169084,14.71973806,12.24439068,4.81315432,10.42177586,11.40345044,6.276594949,6.9809377205,5.047681518,5.93470004,9.946928611,4.983234478,10.0318327905,10.17096442,6.9557694,5.163308771,5.002490161,6.272261775,5.638081984,5.277995204,5.193979903,4.918399651,5.313437469,5.479142629,8.732490639,6.664060114,5.741879005,5.996056084,5.943283297,5.767529834,5.745379368,5.467940713,5.154424477,4.898947471,5.540872931,8.533603375,6.211553127,13.7210223,7.126784799,5.256643908,5.716175548,4.688059546,7.831435711,12.29242381,5.81499758325,6.058647282,9.433126963,Control
GSM427167,5.751417692,5.54798282,5.419801156,4.897254041,5.993510911,5.255700175,8.5057825605,12.89900003,7.731063702,5.233246971,14.902030635,13.07564465,5.511603435,10.00810682,10.99057863,6.011904408,6.9504892375,5.570167841,5.839966671,8.894060699,5.427950757,10.549058171,10.68693842,6.853562589,4.715361226,5.700724934,6.314610999,6.316060301,5.144669712,5.250403832,4.672729652,5.763950127,5.229983196,9.982822895,6.242988873,5.863264042,5.91379373,6.059891283,5.292976103,5.274272145,4.820703945,5.662925563,5.545359333,5.178725843,7.364881259,5.69600164,13.31043176,6.715691352,5.117810604,5.936526788,4.497725104,7.621669354,12.3968015,5.818649465,5.738099861,8.876387348,BRCA
GSM427169,6.320850743,5.022158329,5.557663769,4.42789603,5.970169897,4.585033079,7.7151803595,12.22983432,7.94413342067,4.937593039,14.77735648,12.75620088,5.250782787,9.091846003,11.551814785,6.582936515,6.9170906935,5.745379368,6.090647705,8.2864551,5.279296008,10.2223433115,10.4183642,6.723152797,5.2209212,5.476390801,6.408334517,5.360725299,5.634020526,5.229598736,4.421060285,5.279296008,5.422747045,9.05864872,6.367550714,5.275576309,5.946971318,5.853503721,5.259094728,5.072117861,5.224977213,4.981865493,4.821979637,4.490583929,8.647873119,6.021041727,14.29890208,6.228150688,4.963487128,5.822354928,5.233822166,7.713525923,12.26341894,5.3371000785,6.021041727,9.033320526,BRCA
