@relation data

@attribute id string
@attribute 10333 numeric
@attribute 11213 numeric
@attribute 114609 numeric
@attribute 23643 numeric
@attribute 30849 numeric
@attribute 3654 numeric
@attribute 4214 numeric
@attribute 4615 numeric
@attribute 51135 numeric
@attribute 51284 numeric
@attribute 51295 numeric
@attribute 51311 numeric
@attribute 5289 numeric
@attribute 54106 numeric
@attribute 59307 numeric
@attribute 64145 numeric
@attribute 7096 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7100 numeric
@attribute 7189 numeric
@attribute 81793 numeric
@attribute 8411 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.147515948,8.982338457,6.4530058725,10.93816836,7.666137216,9.677464692,10.46146439,9.4642502,7.450842404,7.753920581,7.804520085,5.738787021,6.066633462,5.412113573,6.87691901,11.46007714,5.048771569,5.492342928,8.456252884,10.33984475,7.37822060033,6.32785480567,7.126784799,Control
GSM427159,5.905574287,8.312759464,6.7609431445,10.51616813,7.979969765,10.14535302,11.6627575,9.905361101,7.849500691,7.73643766,7.807517739,5.70038317667,5.492262803,5.359671604,7.07620098767,11.52028732,6.098617071,6.063509009,6.966306806,10.8133766,7.05787236967,6.31385776,6.371912196,BRCA
GSM427160,6.207019812,7.183985468,6.41651854325,9.696107356,7.943805792,10.42139193,11.77105209,9.70697128,7.734880845,8.136838795,8.425773069,6.02799139,6.394124489,5.651633855,6.70599459733,11.38682457,5.870864797,6.577621898,6.90941648,10.89259805,7.01943370733,6.46669393433,6.259466112,BRCA
GSM427162,5.464840793,7.581278035,6.57897862275,10.56679164,7.302047389,10.56828182,12.00382718,9.766156644,7.184878131,8.251862414,8.774277353,5.199323359,5.161495975,6.225261069,7.091856738,11.12295109,6.299945779,6.559687298,6.225261069,11.19501551,6.46814411567,5.645233519,6.269599511,Control
GSM427163,6.910795985,7.609180816,6.77568815025,10.36033166,8.352927454,10.67791364,11.72645885,9.855452948,7.546047737,7.911723223,8.26935011,5.618389279,6.385047554,5.776374632,7.00390971,11.27693876,6.79954431,6.542068896,7.753252064,10.88836296,7.059741909,6.90127802967,6.501005654,BRCA
GSM427164,6.193383055,8.20645413,6.44691833025,8.97466634,9.014021255,9.548258938,11.51112271,10.48083592,8.234483507,7.074733207,7.477052175,5.96417478733,6.534735237,5.256643908,6.867182325,11.42495241,6.377302187,6.055559693,8.209345068,10.66888523,7.331943975,6.356236664,7.409181146,BRCA
GSM427165,5.804783636,8.584681754,6.811203792,12.44988381,6.219367603,9.834609753,12.26224618,9.530631222,7.141854563,6.973327498,8.04360305,5.15125677433,5.69405225,5.71384099,6.78782280367,10.88922276,6.310935931,6.371171674,5.606746643,11.48104019,6.42166024533,5.660869601,7.435068318,BRCA
GSM427166,5.563776856,7.952116757,6.49790735125,10.7538521,8.238764323,9.860714986,10.99477083,9.695555047,7.659908731,7.707464612,7.85975393,6.03225915667,6.172283106,5.870741528,6.494365709,11.26141051,5.600664669,5.443615974,7.833192323,9.892869539,7.018808194,6.044314138,6.389055329,Control
GSM427167,5.584219358,7.324048031,6.4646753845,9.303998235,7.653026194,10.66204549,11.9611296,9.573046472,7.280958923,7.731914868,8.239194094,5.45808713667,6.387246745,5.59156816,6.83385006133,11.34799239,6.127793825,6.380768944,6.888990144,10.47248806,7.05702786333,6.64751997367,6.385953509,BRCA
GSM427169,5.586623085,7.356190313,6.5988104295,10.11144907,8.166628995,10.47490271,11.43790563,9.269361142,7.494497866,7.415068054,8.721869154,5.29680243,5.992208309,5.605858198,7.17554110733,11.26465094,6.042541061,5.831251023,6.819352447,11.06200921,6.71155131933,6.349096049,6.549326956,BRCA
GSM427170,6.382845006,8.458161657,6.478827051,11.16381336,7.996333838,10.78985172,11.22161448,9.630713575,8.15728519,7.755690654,8.944698245,5.75545035633,6.664771254,5.387510099,7.58443443267,11.44994835,5.515077886,5.424427713,8.121094588,9.884300709,6.56440695667,6.05268325967,6.236976265,BRCA
GSM427171,6.51601958,8.409052632,6.64371039525,10.84714372,8.311295486,9.975214277,11.05015324,9.909466033,7.91898414,8.924932074,7.537570051,5.79137463333,6.566895523,5.179920282,6.74968815833,11.39766944,6.738028485,6.548826242,7.757525229,9.622015717,6.78874329567,6.86489342067,6.489691944,Control
GSM427172,6.455783898,8.213372953,6.703246997,9.985152126,8.534342889,10.19377825,10.77967445,9.531343017,7.813125618,7.600769885,7.860623191,5.76234131467,5.770572224,5.848755155,6.56176600267,11.29749826,5.986758624,6.379209934,8.261532137,9.953964008,7.02586490967,6.68194097033,7.066307529,Control
GSM427178,6.029459097,8.969833382,6.46962764425,9.266219144,8.279077887,10.19073248,9.313711317,10.01320441,7.825469439,6.778212273,8.03664224,5.85423578367,5.88130442,5.325000691,7.731561214,11.08168334,4.982321965,6.539744787,7.008823908,10.13755512,7.215576291,6.23963327933,6.723971888,BRCA
GSM427181,6.089535888,8.192220215,6.58221279,9.811543731,8.516213288,10.56573071,9.683047729,9.847089115,8.177894285,7.879554342,7.987180326,6.61539544933,5.977286364,5.666480557,7.257674701,10.90509007,4.904256777,6.82311602,7.52642319,10.26449571,6.78915135733,5.976184661,6.654067161,BRCA
GSM427182,6.344300901,7.951053173,6.481299279,9.208795915,7.912322211,10.20419243,9.206422917,9.757607158,7.785029202,8.03235039,8.119409516,5.57888995567,5.328864506,5.573807162,7.16826149367,11.4325551,5.579701547,6.277060108,7.096928908,9.972922768,7.091595276,6.62219762133,6.258288656,BRCA
GSM427183,6.093819614,8.049591461,6.7586365305,8.734829099,8.254711101,9.938499406,9.06544382,9.995046727,8.029454439,7.229566594,7.974071981,5.456722424,5.217920145,5.561487483,7.69004670467,11.19831015,5.624694033,5.976599205,6.951841648,9.579938673,7.36477082733,6.263204176,5.838328613,BRCA
GSM427187,5.913853554,8.142031888,6.64321852225,9.734062262,8.333715684,10.38589505,9.805889394,9.86581875,7.732576386,7.781656624,8.227629329,6.02612785733,4.790135144,5.931926036,7.395755471,11.00692932,4.66393703,6.034750138,6.945300803,9.628928997,7.06833791633,6.17780891,6.564839703,BRCA
GSM427189,6.203304562,8.290227544,6.62525171175,9.55681311,8.322684325,10.37600085,9.17185302,10.14810827,8.063477494,7.260592921,8.066467478,6.080460993,5.262669223,5.829095581,7.85163769533,10.89969322,4.53376448,5.724930741,7.22451093,9.545409111,6.99678506233,6.44428954733,5.877014897,BRCA
GSM427193,6.734984332,8.96325817,6.37303906825,10.14474144,9.482092544,10.52833228,6.536717836,10.66050207,7.930502474,7.180309817,7.947901529,5.53307792333,5.255700175,4.891432858,7.555541788,11.13901746,4.261387852,5.716038325,6.018707189,9.794875216,7.079701867,5.99671383567,6.352798794,BRCA
