@relation data

@attribute id string
@attribute 1621 numeric
@attribute 2571 numeric
@attribute 3067 numeric
@attribute 5409 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.78110476,5.38304633667,8.306085763,4.972246049,5.5858837835,5.720012484,Control
GSM427159,5.219566658,5.555093649,8.595435709,5.438135838,5.125650212,6.29655434,BRCA
GSM427160,5.819930778,5.46421904767,6.878146348,6.657715471,5.5904720335,5.609778043,BRCA
GSM427162,5.291135005,5.54813415467,6.678674516,8.841046241,5.8439838165,6.052574163,Control
GSM427163,5.249266367,5.30357325,6.303968491,4.694341356,5.5701302945,5.947964885,BRCA
GSM427164,5.712053188,5.448684967,7.9096848,5.391639926,4.992983245,6.338964187,BRCA
GSM427165,5.447092526,5.79339804,6.662423158,7.655282277,5.8633026145,5.721927133,BRCA
GSM427166,5.89936372,5.31003055167,7.981112176,6.336734717,5.423904716,6.119880723,Control
GSM427167,5.739855695,5.29941082167,6.353328254,7.859086107,5.73397804,6.095613938,BRCA
GSM427169,5.764746385,5.29248360533,7.130779359,5.460424154,5.484697035,5.78136709,BRCA
GSM427170,5.704879743,5.39489482267,8.569856676,7.01892656,5.1678288455,6.104971499,BRCA
GSM427171,5.961629839,5.59080149,8.183860048,8.469561566,5.5989541065,5.860721532,Control
GSM427172,5.572140279,4.981569429,7.915627146,6.732544377,5.5417165275,6.271981767,Control
GSM427178,5.515077886,5.47473271133,10.15541314,6.775581064,7.5803338885,6.234966481,BRCA
GSM427181,5.722063796,5.63404647867,8.138106815,7.204060303,5.66740394,5.979917442,BRCA
GSM427182,5.520666802,5.35568885767,9.252807995,6.116245828,5.3806743205,6.422153617,BRCA
GSM427183,5.66903474,6.65760496733,10.15284924,6.324365654,5.8258654195,6.430582702,BRCA
GSM427187,5.617365526,5.49308264767,8.818599053,8.26545228,5.651027307,6.12918576,BRCA
GSM427189,5.662640784,5.87214272333,9.243632862,5.691890921,6.2426448815,6.192002396,BRCA
GSM427193,4.686239521,5.37312985767,10.56268869,5.852005861,4.9996117075,7.069372226,BRCA
