@relation data

@attribute id string
@attribute 10333 numeric
@attribute 10454 numeric
@attribute 10747 numeric
@attribute 11035 numeric
@attribute 11213 numeric
@attribute 114609 numeric
@attribute 1147 numeric
@attribute 1385 numeric
@attribute 1386 numeric
@attribute 1432 numeric
@attribute 148022 numeric
@attribute 1675 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 1848 numeric
@attribute 1849 numeric
@attribute 2002 numeric
@attribute 23118 numeric
@attribute 2353 numeric
@attribute 23643 numeric
@attribute 257397 numeric
@attribute 29110 numeric
@attribute 30849 numeric
@attribute 353376 numeric
@attribute 3551 numeric
@attribute 3654 numeric
@attribute 3661 numeric
@attribute 3665 numeric
@attribute 3725 numeric
@attribute 3929 numeric
@attribute 4064 numeric
@attribute 4153 numeric
@attribute 4205 numeric
@attribute 4208 numeric
@attribute 4214 numeric
@attribute 4615 numeric
@attribute 466 numeric
@attribute 4790 numeric
@attribute 4791 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 51135 numeric
@attribute 51284 numeric
@attribute 51295 numeric
@attribute 51311 numeric
@attribute 5289 numeric
@attribute 54106 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5528 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5648 numeric
@attribute 59307 numeric
@attribute 5970 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 629 numeric
@attribute 64145 numeric
@attribute 6416 numeric
@attribute 6885 numeric
@attribute 7096 numeric
@attribute 7097 numeric
@attribute 7098 numeric
@attribute 7099 numeric
@attribute 7100 numeric
@attribute 712 numeric
@attribute 713 numeric
@attribute 714 numeric
@attribute 715 numeric
@attribute 716 numeric
@attribute 717 numeric
@attribute 718 numeric
@attribute 7189 numeric
@attribute 720 numeric
@attribute 727 numeric
@attribute 729 numeric
@attribute 730 numeric
@attribute 731 numeric
@attribute 7314 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute 7867 numeric
@attribute 81793 numeric
@attribute 8411 numeric
@attribute 8517 numeric
@attribute 8737 numeric
@attribute 9252 numeric
@attribute 9261 numeric
@attribute 929 numeric
@attribute 9450 numeric
@attribute 9641 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.147515948,6.76556701167,4.91435600033,7.71285561,8.982338457,6.4530058725,9.004698798,10.707890538,8.727649179,7.09994864525,8.990502651,14.5197155,12.65135565,7.713639689,9.368411083,6.089906589,9.719046985,6.0750662075,14.72004222,10.93816836,5.7827021795,9.933381255,7.666137216,9.410992459,7.1307406325,9.677464692,8.946146814,7.73691741833,14.72492149,6.799868052,5.692518737,5.217435519,7.78313105,9.521659876,10.46146439,9.4642502,6.205212267,12.34771002,6.613275006,15.00532806,6.709066159,7.450842404,7.753920581,7.804520085,5.738787021,6.066633462,5.412113573,11.688477345,8.82094285433,12.47196608,8.486261975,7.96756283667,8.27215776867,11.634256725,7.03030591433,5.939777752,7.4995792045,7.621649748,6.7523535558,10.49127719,11.44994835,5.86129168933,5.85530403967,7.887344199,5.702474374,6.87691901,8.69026092,6.75911088,7.65857270567,6.52702968625,11.12137181,11.46007714,8.585478725,9.487800372,5.048771569,5.492342928,6.277029476,8.456252884,10.33984475,9.493065415,11.58695951,12.10196099,8.4275444275,11.452979635,8.673575084,9.984080577,7.37822060033,6.548787718,9.118734206,7.474316635,7.244818397,4.424648213,14.001314075,4.963024656,5.980374532,4.927435762,10.72737618,6.32785480567,7.126784799,10.2072374,9.943694688,7.256578464,7.3429582785,12.48380266,9.032239399,7.228436626,Control
GSM427159,5.905574287,6.67949367567,5.186951856,8.347268264,8.312759464,6.7609431445,8.974945912,11.4528809893,7.390558334,6.60639379225,8.8269228395,13.57316849,12.87602003,7.9725748555,8.973347824,6.13986403,9.192268846,6.2352424805,13.75148289,10.51616813,6.0886892785,9.982976156,7.979969765,9.618225404,7.787354885,10.14535302,9.581525964,7.666754807,14.11502538,5.899424146,5.166927545,4.863209057,7.902708426,10.58265505,11.6627575,9.905361101,5.424931532,12.34109771,6.847355026,13.91249272,6.373840507,7.849500691,7.73643766,7.807517739,5.70038317667,5.492262803,5.359671604,11.725137905,8.45745837133,12.56790862,7.037171767,7.44463675467,7.85669691467,11.27623323,7.157624222,5.0886580415,7.383968157,7.563421716,6.347242776,9.559434991,11.52169626,5.85702554217,6.054235957,7.798165773,5.2974858328,7.07620098767,8.669346719,6.746992115,7.51923145167,6.64235424625,10.98871684,11.52028732,8.106593131,9.4310771815,6.098617071,6.063509009,6.1753908245,6.966306806,10.8133766,9.107570921,11.52103369,11.70094695,8.1681794175,10.281570014,7.328004187,8.261532137,7.05787236967,5.7109519,9.091660914,7.447953386,6.657501119,4.670607054,13.81882705,5.372787809,5.707366897,5.133410684,11.28922369,6.31385776,6.371912196,10.39985497,10.07879165,7.931104142,7.508147197,12.773988575,8.210063853,7.843734423,BRCA
GSM427160,6.207019812,7.13302304567,4.95899230267,7.404633079,7.183985468,6.41651854325,8.986710369,10.8440250817,7.432878264,6.58493097,8.854112445,11.8267889,12.21350534,8.42336365,8.7236802925,6.064587171,9.676230874,6.077757674,14.33042537,9.696107356,5.6822479045,9.744102689,7.943805792,8.960697854,7.4532495275,10.42139193,9.456519276,7.87360212033,14.41297137,5.870864797,5.531000265,5.014814152,7.507995028,9.044121624,11.77105209,9.70697128,6.225935832,12.51631937,6.882157689,14.51605303,6.74855168667,7.734880845,8.136838795,8.425773069,6.02799139,6.394124489,5.651633855,11.639330205,8.297715334,12.66850837,6.469405549,7.775337819,8.11094053067,11.198356615,6.689778979,5.6701097255,7.0833900895,7.8060539105,5.84197348,9.65317699,11.72288448,5.82716031317,6.35618041933,8.166013814,5.2469885464,6.70599459733,9.073024297,7.136685014,7.197314467,6.2422901355,11.52829551,11.38682457,8.6701660175,8.9013859115,5.870864797,6.577621898,5.9744687035,6.90941648,10.89259805,9.137228846,11.76843466,11.93859466,7.66975539825,9.0656610875,6.421228033,9.077998072,7.01943370733,7.321975714,9.298968193,6.40837698,5.948373802,4.976605648,13.884698385,5.741339733,6.186615071,5.047245267,11.524772,6.46669393433,6.259466112,10.04121461,9.929872764,7.428122563,7.067906808,12.912822165,9.459406579,8.306085763,BRCA
GSM427162,5.464840793,7.27747024367,5.222893164,8.22327909,7.581278035,6.57897862275,8.742495656,11.337274206,6.4694836,6.0589973865,9.374046924,13.13820464,12.56946885,6.4582917475,8.5467491645,5.01682082,9.684192438,6.211699109,12.01436934,10.56679164,5.8913697235,9.64111297,7.302047389,9.601056285,7.4011955135,10.56828182,9.983528472,7.80810919733,14.08054111,5.868397398,6.065341406,5.144669712,7.016310012,9.709937252,12.00382718,9.766156644,6.574181472,12.26985874,7.43686989633,14.35403309,6.91424652367,7.184878131,8.251862414,8.774277353,5.199323359,5.161495975,6.225261069,11.80875598,7.178084026,12.57347448,7.27396389367,7.15936184067,7.98209816267,11.274247985,7.046663354,5.7758281875,7.0038486335,6.9189611885,6.4393043462,9.580847928,11.42772678,5.05698450317,6.36100294267,8.473463378,5.1420860782,7.091856738,7.67194989,7.5978930125,6.97936211167,6.33404855075,10.90796116,11.12295109,8.231806127,8.417672848,6.299945779,6.559687298,5.0089445615,6.225261069,11.19501551,9.128942349,11.63953303,11.41529827,6.4755983955,8.3691132825,7.084173582,7.478529234,6.46814411567,5.59724157,9.796177999,5.776111392,5.327517838,5.29683478,13.10949585,5.854439094,6.44717055,4.893861206,11.77058762,5.645233519,6.269599511,10.50969117,10.01119619,7.4437513505,7.5757878185,12.50286316,9.573941152,8.656300723,Control
GSM427163,6.910795985,6.68095800667,5.08995010033,7.77152434,7.609180816,6.77568815025,8.684828488,11.0490871027,7.558059277,6.730522711,9.049980109,14.01689273,12.40419699,8.0824437485,8.9107455465,6.188000892,9.981439248,6.0872080685,12.40857396,10.36033166,5.7240857145,9.776844695,8.352927454,9.602356068,7.5245616955,10.67791364,9.290572499,7.96197416633,13.43392773,5.963711807,5.575169544,5.115211455,7.945504008,10.17606751,11.72645885,9.855452948,5.965559928,12.37603319,6.867992672,13.73047547,6.52162721267,7.546047737,7.911723223,8.26935011,5.618389279,6.385047554,5.776374632,11.458095575,8.52183209933,12.75620088,7.069555338,7.58979746267,7.82991936767,11.21839075,6.79859870533,5.704258658,6.931778481,8.1880407455,6.3743216144,9.966174165,11.8471671,6.07725681717,5.979395943,8.264326623,5.2296592122,7.00390971,9.268495874,7.021079646,7.28840672033,6.76922237325,10.82104072,11.27693876,8.6043275615,9.2133861525,6.79954431,6.542068896,6.298171367,7.753252064,10.88836296,9.096030618,11.58929079,11.27819405,8.47468736675,9.912890601,7.578374814,10.22558136,7.059741909,6.559649064,8.630058784,7.627900667,7.397078021,5.137105138,13.92393915,4.261102729,6.1817045,5.100779273,11.29922535,6.90127802967,6.501005654,9.78258103,9.484878832,7.794648318,7.645516256,13.176504155,8.96276671,7.862251644,BRCA
GSM427164,6.193383055,6.273083892,4.806993404,8.624376132,8.20645413,6.44691833025,9.33884841,10.8002004453,8.61053686,6.87151716925,8.959527725,13.80179072,12.89109452,9.518144322,8.7958369315,6.497057936,9.979768545,6.15580083,13.96600025,8.97466634,6.029552273,10.23622984,9.014021255,8.575114814,7.5689740425,9.548258938,8.952931307,7.74172589367,13.80946823,5.984481833,5.65836235,4.989151782,8.516705752,9.550766562,11.51112271,10.48083592,6.478491062,12.87483063,6.82836121733,13.77694807,6.160625593,8.234483507,7.074733207,7.477052175,5.96417478733,6.534735237,5.256643908,12.40345346,9.370871616,12.86342169,7.561705909,7.917623909,8.18650002,11.07534033,6.70524643733,6.517858181,7.4215310095,8.3174977465,6.511764621,10.23164154,11.5852209,7.15443493,5.98125183967,7.443878302,5.6137205426,6.867182325,9.673230059,7.5246001185,7.361977291,7.19245125,11.01901053,11.42495241,8.9337864765,9.9163703245,6.377302187,6.055559693,6.4009452435,8.209345068,10.66888523,7.73643766,10.7357001,10.66068255,8.7833907645,11.0768842915,7.709361509,10.27605783,7.331943975,6.449648548,8.584211958,6.284297232,6.336020558,4.73377711,13.72048402,5.527329405,5.800130634,5.006983802,11.31140223,6.356236664,7.409181146,10.54285319,10.12499078,7.69743404,7.5964459115,13.286500315,8.753050508,7.763247437,BRCA
GSM427165,5.804783636,6.779059113,5.17394369333,8.248996236,8.584681754,6.811203792,8.17437786,11.1354255073,6.689582656,6.362735412,8.833378894,10.37947886,13.23377623,7.717614527,9.2109085805,5.263890047,9.212867878,6.572961414,10.44201071,12.44988381,6.236986736,9.349160193,6.219367603,10.24459905,7.550193916,9.834609753,9.883896123,7.47824938267,13.91249272,5.250782787,5.971607496,5.349799819,7.842729237,10.64474883,12.26224618,9.530631222,4.84060329,12.52075501,7.129972705,15.02279519,6.344653246,7.141854563,6.973327498,8.04360305,5.15125677433,5.69405225,5.71384099,12.072677105,7.46461112133,12.04072818,6.68902141267,7.05650117433,8.451561107,11.151396135,7.32404088833,5.6011167705,6.239058915,6.747341416,5.495877927,8.977681421,11.16076662,5.4415442,6.79660585167,8.963388234,5.3934476678,6.78782280367,7.262755244,6.923040761,7.46619594767,6.5621458705,10.50280226,10.88922276,8.457614913,8.575344218,6.310935931,6.371171674,5.345123689,5.606746643,11.48104019,8.355902877,10.93590557,10.36292765,6.93556862625,9.5784932405,7.186711317,5.442621133,6.42166024533,5.361953639,9.778964625,5.278924469,5.532793245,5.169134558,13.157660585,5.938762876,5.797798494,4.915773338,11.77105209,5.660869601,7.435068318,10.10111594,9.601752743,7.844629794,7.3846532985,12.250297535,9.366596041,9.040817876,BRCA
GSM427166,5.563776856,7.020737198,4.99305370267,7.863769878,7.952116757,6.49790735125,8.824657385,10.258386433,8.441575941,7.0975611175,8.588742572,14.09890062,11.86752597,8.2197528715,8.501125356,5.865554662,9.290572499,6.095394251,14.08516788,10.7538521,5.7126180115,9.949994866,8.238764323,9.107714755,7.4520617975,9.860714986,9.325693977,7.75431426067,13.96294256,5.582112807,5.431465218,4.709583584,7.642631408,8.670303166,10.99477083,9.695555047,6.691119292,12.20475003,6.370347138,14.22362506,6.20271008933,7.659908731,7.707464612,7.85975393,6.03225915667,6.172283106,5.870741528,11.932399345,9.17209626933,12.30526243,7.08180120033,7.630858662,8.171538624,11.40345044,7.14839452233,5.401013329,6.487104221,7.762308173,6.3190254744,10.00443156,11.28922369,5.8607249385,5.93944441167,8.267911597,5.572613708,6.494365709,9.194320487,6.824884907,7.49696018667,6.575528975,11.49745034,11.26141051,8.519260169,8.9471097785,5.600664669,5.443615974,6.1474658955,7.833192323,9.892869539,10.24459905,12.00461736,12.21264541,8.784989627,11.64558419,8.913054791,10.32139858,7.018808194,6.167122676,8.838747853,7.7194592,7.638763741,5.125580074,14.498215135,5.064162066,6.213644369,4.937828406,11.03612228,6.044314138,6.389055329,10.4077487,9.671351374,7.921844917,7.097562405,12.88118256,9.07478446,7.068028862,Control
GSM427167,5.584219358,6.649348596,5.243037915,8.038728526,7.324048031,6.4646753845,8.659854224,10.6759547673,7.598929252,6.41978303225,9.2449642545,12.96419289,12.44264168,8.864788033,9.3886960075,6.047457275,10.01823535,6.3311955985,14.82357723,9.303998235,5.505202515,9.676706901,7.653026194,8.780097726,7.530604743,10.66204549,9.246806572,7.81817800833,14.44356588,6.278408221,5.844493149,4.820703945,7.29632232,8.626175475,11.9611296,9.573046472,6.507006194,12.42766909,7.15645079333,14.37348409,6.496869675,7.280958923,7.731914868,8.239194094,5.45808713667,6.387246745,5.59156816,11.55756824,8.63116965933,12.62816419,6.71771492967,7.539110223,7.91861634733,10.99057863,6.63685147833,5.8779809975,6.9655385505,8.3694050275,6.1710283688,9.452231522,11.82274022,6.020187685,6.398579306,8.382668468,5.3250683426,6.83385006133,9.012625324,7.242305488,6.894570391,6.443440984,10.57043948,11.34799239,8.505661469,9.204869818,6.127793825,6.380768944,6.4335405075,6.888990144,10.47248806,8.92274875,11.21413864,11.43208526,8.102397265,9.6121607825,7.160580214,9.687682355,7.05702786333,6.104919098,8.902421187,6.001752288,6.29655434,4.517251297,14.242274775,4.611660232,6.130576354,5.004514032,11.27393851,6.64751997367,6.385953509,9.861979055,9.108531726,7.9904688245,7.4254276565,12.657291755,9.021522149,8.034195249,BRCA
GSM427169,5.586623085,7.04562845567,5.488490067,8.223556644,7.356190313,6.5988104295,8.645245129,11.1110274023,6.79980331,6.2012063225,8.4216094845,13.96600025,12.83066776,8.0649007185,8.7461260365,5.372961888,9.726661428,6.2017657865,11.55023948,10.11144907,6.0411300525,9.482556459,8.166628995,9.112896304,7.6541093245,10.47490271,9.779978297,7.855507611,13.15952927,6.496738457,5.707228834,4.889243844,7.098982487,9.596921694,11.43790563,9.269361142,6.207019812,12.09766027,6.83844174133,13.54172225,6.537366551,7.494497866,7.415068054,8.721869154,5.29680243,5.992208309,5.605858198,11.593713005,8.44322777467,12.69546762,8.46005630567,7.42782175433,7.74245236133,11.551814785,6.691964128,5.5839936855,6.9279187635,7.524249938,6.6645194764,9.69476318,11.64681981,5.75900304267,5.92169088967,8.896605722,5.4176929334,7.17554110733,8.33670864,6.8978346455,6.81342298733,6.26822091,11.47663498,11.26465094,8.616861979,8.9430429875,6.042541061,5.831251023,5.4338499695,6.819352447,11.06200921,9.128046616,11.25995523,11.17484162,7.452973135,9.2963027245,7.170979399,7.986440979,6.71155131933,6.112705996,9.801199537,6.090647705,6.232282407,5.081308998,13.80215118,4.726575091,6.031666056,5.272033689,11.09393927,6.349096049,6.549326956,10.22738163,9.863923404,8.0356480365,7.581342169,12.19871781,9.027022092,8.031881916,BRCA
