# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
5530	1.0
5296	2.0
10451	3.0
3635	4.0
10892	5.0
6850	6.0
27071	7.0
8503	8.0
5970	9.0
5294	10.0
6655	11.0
4067	12.0
2213	13.0
8517	14.0
5894	15.0
118788	16.0
1147	17.0
5594	18.0
8519	19.0
5595	20.0
1380	21.0
63928	22.0
5336	23.0
4792	24.0
84433	25.0
4793	26.0
3845	27.0
10000	28.0
5290	29.0
207	30.0
5534	31.0
4772	32.0
5293	33.0
2932	34.0
975	35.0
5879	36.0
4776	37.0
3551	38.0
8915	39.0
11261	40.0
11025	41.0
5777	42.0
974	43.0
4773	44.0
208	45.0
971	46.0
695	47.0
3725	48.0
3265	49.0
5881	50.0
6654	51.0
5604	52.0
5532	53.0
5295	54.0
2885	55.0
5605	56.0
4794	57.0
4893	58.0
5579	59.0
10725	60.0
5291	61.0
4775	62.0
5533	63.0
5880	64.0
29760	65.0
2353	66.0
23533	67.0
7410	68.0
4790	69.0
7409	70.0
