Feature	Mean Rank
23279	1.0
5515	2.0
9126	3.0
5048	4.0
81929	5.0
348995	6.0
79172	7.0
991	8.0
378708	9.0
4085	10.0
9985	11.0
348235	12.0
220134	13.0
2491	14.0
80152	15.0
11243	16.0
55839	17.0
79003	18.0
6232	19.0
10403	20.0
83540	21.0
3619	22.0
147841	23.0
81930	24.0
5528	25.0
1063	26.0
5516	27.0
10735	28.0
80776	29.0
9793	30.0
55746	31.0
8243	32.0
6249	33.0
54820	34.0
332	35.0
6396	36.0
5518	37.0
23122	38.0
55920	39.0
151246	40.0
7514	41.0
81565	42.0
699	43.0
79902	44.0
22919	45.0
23421	46.0
57551	47.0
9212	48.0
5527	49.0
11130	50.0
25936	51.0
1060	52.0
84643	53.0
64105	54.0
25909	55.0
54821	56.0
9184	57.0
5903	58.0
55143	59.0
57405	60.0
8379	61.0
5525	62.0
79980	63.0
5519	64.0
54908	65.0
64946	66.0
57082	67.0
3796	68.0
151648	69.0
23332	70.0
55055	71.0
5885	72.0
79682	73.0
10274	74.0
5905	75.0
5526	76.0
11004	77.0
91687	78.0
55166	79.0
401541	80.0
79023	81.0
57122	82.0
9183	83.0
4928	84.0
10726	85.0
5347	86.0
79019	87.0
1058	88.0
701	89.0
5501	90.0
9735	91.0
1062	92.0
