@relation thedata

@attribute 116519 real
@attribute 26119 real
@attribute 3339 real
@attribute 335 real
@attribute 336 real
@attribute 337 real
@attribute 338 real
@attribute 344 real
@attribute 345 real
@attribute 348 real
@attribute 3949 real
@attribute 3990 real
@attribute 4023 real
@attribute 4547 real
@attribute 5034 real
@attribute 51128 real
@attribute 6382 real
@attribute DependentVariable {BRCA,Control}

@data
4.682873814,7.938552104,7.792629466,5.287261033,5.468103682,5.434637608,7.52571875,5.447588494,4.816742118,12.94803322,12.20235811,5.7166994375,11.99463462,4.858492381,12.49390804,8.019125198,6.69339494667,Control
5.049534115,8.008262107,7.267093607,4.752897783,5.34066129,4.435394156,6.348379055,5.549369797,4.800655715,12.2590489,10.86989475,5.1836945115,11.04153957,5.185877691,12.62461163,7.67650563433,6.80248407133,BRCA
4.402621796,8.39528898,6.884998114,5.161092822,4.757305356,4.707652488,5.194176951,6.012463221,5.206732344,12.39966386,10.64577575,5.756177829,9.774869866,5.507645012,12.95796723,7.717854219,7.01954666733,BRCA
5.391983545,8.775594747,6.898090799,5.62000808,5.051166787,5.530298057,6.832450574,6.730847532,4.802724808,12.63275562,11.0791816,5.413543535,10.80850192,4.640273621,13.17957018,7.747769209,6.84715873633,Control
5.959776674,7.694795113,6.345898074,5.368603583,5.278366982,5.297935366,5.764215595,5.682581197,5.375136114,12.48048484,11.61281105,5.0551792235,11.76903417,5.538857248,13.12486126,8.31538202333,7.26605911,BRCA
4.83277771,7.954532403,7.612022762,5.202134845,5.46712559,4.846131289,5.663352625,4.769786816,4.596397442,12.61931219,13.42739342,5.0942909245,11.72497433,5.118745153,13.11754819,7.84336096967,7.75935687733,BRCA
4.437513198,8.428329942,6.252670753,5.472984221,5.447092526,4.981180512,5.761026747,6.456482249,5.149758548,13.52549699,11.77742394,5.2577259055,9.421602612,4.817637677,12.79172868,7.85281846467,7.208733561,BRCA
5.741879005,7.356058229,7.248309789,4.29432028,5.206732344,4.756238089,5.862458365,5.202820508,5.908579513,13.17700839,10.69807978,5.778081135,10.32819838,5.106025018,12.61931219,8.02591584067,7.17661645,Control
5.077041333,7.983308773,6.512152304,6.078850631,5.661287319,4.839217974,5.589022814,6.239937982,4.574493453,12.16093036,11.73846187,5.416921946,9.424439853,5.26866948,12.93429355,8.18419788033,6.98821417,BRCA
4.937593039,8.775594747,6.752819242,5.630093262,5.582714993,5.340750292,6.161087152,5.78136709,5.144669712,12.48456748,11.15889068,4.877901287,11.33290385,4.900880389,12.73729283,7.84272787833,6.95405461767,BRCA
5.38371401,8.428329942,7.023674317,6.073719165,5.427950757,5.259471408,6.516728771,5.297385178,5.14385383,13.22427159,10.18422484,5.612474002,11.69812525,5.182703468,12.79544315,7.803610284,7.31734329433,BRCA
5.087262599,7.458675491,6.818777479,5.563166712,5.678079829,4.983234478,5.970630084,6.495899486,5.377654117,13.12816518,11.33349936,5.4952979855,11.56134298,5.436471072,12.75418295,8.431124864,7.37930132533,Control
4.868404346,7.784783892,8.20072837,5.612950486,5.416511492,5.006310647,8.400389696,6.006753142,4.257413203,12.70943395,11.34542758,5.461503349,12.13627672,5.556438037,12.63275562,7.87933236833,7.33828880233,Control
5.38008113,9.203318099,6.904668111,5.363706598,5.558735431,5.163510053,5.787779337,6.070449036,4.998433881,12.75620088,12.21756405,4.890433616,7.572133883,5.548676475,13.01334802,7.571114731,7.17739670667,BRCA
5.001814906,8.525326145,7.493057094,5.007208117,5.12102706,4.835685705,5.850631456,6.26697916,4.966374225,13.34055118,11.64198185,5.4633784805,9.636896969,5.203016352,13.6548665,7.662994498,7.31804841833,BRCA
5.589622123,9.245874202,6.123713395,5.264922245,5.06588596,5.335936286,5.777361355,6.847562044,5.243946308,13.54043264,11.28537059,5.386867144,7.612815293,5.985962156,13.17297049,7.34603514267,7.49084680567,BRCA
5.10140977,9.169875611,6.653923902,5.638733653,5.422747045,4.779011934,6.026142315,6.233049795,4.631137894,12.42907592,11.96720294,5.2427761415,7.733796852,4.635931227,13.30220126,7.56706898767,7.34674096067,BRCA
5.346612346,9.180550154,6.550058455,5.530766234,5.424931532,5.075544663,6.553095983,5.714390638,5.424931532,13.16411975,12.05342543,5.421633703,9.420287182,5.449323037,13.78998546,7.74813468167,7.53243475733,BRCA
5.396614413,9.054733948,7.285104227,5.622206516,5.14017664,5.483421802,5.614423668,6.422532094,4.962562035,13.06490613,11.12295109,5.5054702995,7.65578315,4.851388329,13.79334119,7.88041309033,7.68692205467,BRCA
5.135259094,9.3312535,6.807551749,5.052688948,5.052688948,4.891432858,5.935702091,5.323740468,4.71233763,12.9979954,9.670320374,5.2783672385,9.114152992,4.700180125,13.19781415,7.486697622,7.79089447633,BRCA
