@relation thedata

@attribute 3551 real
@attribute 3654 real
@attribute 4615 real
@attribute 4790 real
@attribute 4792 real
@attribute 4803 real
@attribute 4804 real
@attribute 5584 real
@attribute 5970 real
@attribute 7189 real
@attribute 7314 real
@attribute 8767 real
@attribute 8878 real
@attribute DependentVariable {BRCA,Control}

@data
7.1307406325,9.677464692,9.4642502,12.34771002,15.00532806,7.388170429,5.934641074,6.732544377,8.69026092,7.37822060033,14.001314075,10.17328397,11.86434298,Control
7.787354885,10.14535302,9.905361101,12.34109771,13.91249272,7.536346549,6.734171472,6.648325671,8.669346719,7.05787236967,13.81882705,9.689124896,11.85143099,BRCA
7.4532495275,10.42139193,9.70697128,12.51631937,14.51605303,7.765321119,6.822829314,6.94883771,9.073024297,7.01943370733,13.884698385,9.67954657,11.48104019,BRCA
7.4011955135,10.56828182,9.766156644,12.26985874,14.35403309,7.799736743,6.822733732,6.524350224,7.67194989,6.46814411567,13.10949585,9.609179258,11.88601099,Control
7.5245616955,10.67791364,9.855452948,12.37603319,13.73047547,7.144329712,6.25333282,7.46131803,9.268495874,7.059741909,13.92393915,9.692040543,11.85273637,BRCA
7.5689740425,9.548258938,10.48083592,12.87483063,13.77694807,7.044998189,5.569408493,7.252336945,9.673230059,7.331943975,13.72048402,10.29787953,12.01436934,BRCA
7.550193916,9.834609753,9.530631222,12.52075501,15.02279519,8.198753346,6.682577247,6.541565657,7.262755244,6.42166024533,13.157660585,8.89713537,12.18094263,BRCA
7.4520617975,9.860714986,9.695555047,12.20475003,14.22362506,8.277683912,5.956063188,6.401140314,9.194320487,7.018808194,14.498215135,9.780392589,11.976813,Control
7.530604743,10.66204549,9.573046472,12.42766909,14.37348409,7.431458167,6.599024363,7.250680065,9.012625324,7.05702786333,14.242274775,10.23716846,12.02771607,BRCA
7.6541093245,10.47490271,9.269361142,12.09766027,13.54172225,7.109833592,6.367550714,7.28012379,8.33670864,6.71155131933,13.80215118,8.99818219,12.08048622,BRCA
7.53597724,10.78985172,9.630713575,12.2590489,13.43573605,7.593430574,6.482005732,6.953850502,8.687254178,6.56440695667,14.083072915,9.326666054,12.17175704,BRCA
7.4402145165,9.975214277,9.909466033,12.38541089,14.39776555,7.536560251,6.69104948,7.02220446,8.875473781,6.78874329567,14.491124715,10.08591759,12.1278268,Control
7.3412959795,10.19377825,9.531343017,12.24889125,14.10537413,7.908033966,6.333741815,7.105806717,8.978067698,7.02586490967,14.375350355,9.621557925,12.20355304,Control
7.5914915015,10.19073248,10.01320441,12.29388695,14.13459319,6.930918032,7.432565127,6.1022441,9.226388785,7.215576291,14.38538722,9.511861902,12.27191972,BRCA
7.946295334,10.56573071,9.847089115,12.41257918,13.98232431,7.437400717,6.958700964,5.992151647,8.761435816,6.78915135733,14.256090485,10.34583797,12.2142175,BRCA
7.791459439,10.20419243,9.757607158,12.40655986,13.70909946,7.62073508,7.683522992,5.941582463,8.629266563,7.091595276,14.371791605,9.785984134,11.95519228,BRCA
7.9501379685,9.938499406,9.995046727,12.32574401,13.58466312,7.081033649,7.254180944,6.363088376,9.515749664,7.36477082733,14.532993875,10.0173308,12.28574906,BRCA
7.5558305855,10.38589505,9.86581875,12.39966386,13.75810714,7.252857286,7.355397625,6.025976276,8.496794995,7.06833791633,14.528822965,10.39270411,11.54310931,BRCA
7.8335949455,10.37600085,10.14810827,12.00382718,12.88068749,8.260967887,7.534460714,6.389227457,9.61434228,6.99678506233,14.343984755,9.923613888,11.7032051,BRCA
7.9784806655,10.52833228,10.66050207,12.05629403,10.54750216,8.100019848,8.170802781,5.886130184,9.315772892,7.079701867,14.572620915,9.687087433,13.33363132,BRCA
