@relation thedata

@attribute 10672 real
@attribute 10681 real
@attribute 1432 real
@attribute 2767 real
@attribute 2769 real
@attribute 2770 real
@attribute 2771 real
@attribute 2773 real
@attribute 2776 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 5028 real
@attribute 51764 real
@attribute 5321 real
@attribute 54331 real
@attribute 55970 real
@attribute 59345 real
@attribute 64805 real
@attribute 6714 real
@attribute 6915 real
@attribute 94235 real
@attribute 9630 real
@attribute DependentVariable {BRCA,Control}

@data
8.4534541335,6.888464479,7.09994864525,12.11539657,8.935666829,7.1915641815,11.95442182,8.056110832,9.668318219,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.40889121,5.232287804,5.689167221,9.177283189,10.1038422,7.4230773135,8.180905107,6.75911734333,5.45627725533,5.641987591,6.639670365,Control
8.420983873,7.24025073833,6.60639379225,12.64178371,9.171240063,6.0573658185,11.95691889,8.621833133,8.930930318,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.492262803,5.31868854,5.663779561,7.381134364,9.681370693,8.3643319965,4.795210185,6.586005659,5.34176664833,5.277995204,5.605858198,BRCA
8.355686187,6.84021840933,6.58493097,12.18094263,9.060122471,5.457103785,11.84327345,8.38961104,9.213384421,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,5.832137623,5.206732344,5.682862067,6.36768175,9.362086899,7.196995946,6.121642945,7.22912163867,5.05988235767,5.72110688,5.95414468,BRCA
8.470632059,6.610917172,6.0589973865,12.07926902,9.612320761,5.725019338,11.56304622,8.480952861,7.435526765,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,4.71357532,4.790526167,5.460424154,4.851263383,7.986995525,6.7231615275,5.470383322,6.91032494133,5.27411230067,5.842043069,5.391983545,Control
9.0143276255,6.84786461333,6.730522711,12.56435203,9.312021348,6.8901006515,12.12850358,7.944479462,9.924501194,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,5.572595075,4.850263431,5.599028548,7.573687183,9.546605663,9.010303599,6.750007239,6.72839437467,5.33256408333,5.615159695,6.316965376,BRCA
9.5554462935,6.695170111,6.87151716925,12.03287579,9.80023708,6.5536864175,11.63993091,8.556449653,10.54993411,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.759695977,5.178725843,6.376000002,8.547261958,11.06412655,7.9243325035,7.258898404,6.38912935567,5.480868779,5.093825554,6.506966537,BRCA
8.505339801,7.252915346,6.362735412,12.83993603,9.550891589,5.366277458,11.48011881,8.162543804,7.39744174,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,5.032113243,4.959319531,5.333433796,6.049582442,9.132211242,8.7523926965,4.73770262,7.54701473933,6.24835161833,5.486079796,5.583918611,BRCA
8.291126504,6.439102376,7.0975611175,11.35299256,9.068624547,6.2928801065,11.95442182,8.2669635,9.665460782,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,5.655646098,5.229406468,5.891304496,8.11035427,10.18190731,7.0132000305,8.117774412,7.00963552967,5.52508715367,5.42266296,6.749873197,Control
8.848894832,6.907508702,6.41978303225,12.07015459,9.270663911,6.2675959045,11.46383867,8.546914832,9.303998235,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,5.375570566,5.411944154,5.847816088,6.738839176,9.085353696,7.2793614545,6.293246892,6.85674479767,5.74249156433,5.104977394,6.020263967,BRCA
8.389578647,6.995387545,6.2012063225,12.53965448,8.89464433,6.489380715,11.67867508,8.628081972,8.352640608,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,5.880692411,4.607083101,5.838328613,7.211063618,8.350852048,7.9356885615,6.730983353,6.973025285,5.11583337933,5.034976365,5.69321599,BRCA
