@relation thedata

@attribute 10681 real
@attribute 111 real
@attribute 112 real
@attribute 150 real
@attribute 152 real
@attribute 2770 real
@attribute 2771 real
@attribute 2775 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 3630 real
@attribute 51764 real
@attribute 54331 real
@attribute 55970 real
@attribute 59345 real
@attribute 775 real
@attribute 776 real
@attribute 783 real
@attribute 784 real
@attribute 9254 real
@attribute 94235 real
@attribute DependentVariable {BRCA,Control}

@data
6.888464479,6.614529956,10.327292123,9.182165345,5.802224334,7.1915641815,11.95442182,5.32399731333,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.169936271,5.232287804,9.177283189,10.1038422,7.4230773135,7.11619091,5.857677033,5.3368584114,9.864136271,6.4084029945,5.641987591,Control
7.24025073833,5.841225451,10.2384186075,8.701446067,5.920184986,6.0573658185,11.95691889,5.80333317067,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.773212576,5.31868854,7.381134364,9.681370693,8.3643319965,6.780445033,6.190817922,5.5997153768,10.03404273,6.3285160135,5.277995204,BRCA
6.84021840933,6.323194968,9.769915947,6.998762823,5.657931073,5.457103785,11.84327345,5.697396068,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,5.870864797,5.206732344,6.36768175,9.362086899,7.196995946,6.671085011,6.360369215,5.5487285326,10.64948099,6.69622707,5.72110688,BRCA
6.610917172,6.331145921,10.3820872935,8.31440325,5.4051304905,5.725019338,11.56304622,5.12699757367,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,5.793122872,4.790526167,4.851263383,7.986995525,6.7231615275,6.621982704,6.966479856,5.542221699,10.47438056,6.642795088,5.842043069,Control
6.84786461333,5.680472929,9.671974648,8.040674833,5.352728787,6.8901006515,12.12850358,5.43099958733,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,5.536217098,4.850263431,7.573687183,9.546605663,9.010303599,6.262194115,6.091970181,5.3915724186,9.820243246,6.5955976525,5.615159695,BRCA
6.695170111,6.872247394,9.753034207,8.290457955,5.875564499,6.5536864175,11.63993091,5.06825095367,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.73607124,5.178725843,8.547261958,11.06412655,7.9243325035,6.244178877,5.840847932,5.1447686846,9.840207941,6.3549356545,5.093825554,BRCA
7.252915346,5.057462456,9.1297731835,6.545663883,5.335488925,5.366277458,11.48011881,5.72716198833,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,5.705709271,4.959319531,6.049582442,9.132211242,8.7523926965,6.679695168,7.11691865,5.2238573746,10.87936138,7.0119988995,5.486079796,BRCA
6.439102376,6.091811548,9.643814388,8.824028821,5.4765994725,6.2928801065,11.95442182,5.32302536333,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,5.451879748,5.229406468,8.11035427,10.18190731,7.0132000305,6.842353879,6.444274162,5.5835800438,10.26782285,6.497368881,5.42266296,Control
6.907508702,6.099511534,9.557649091,7.822253937,5.7251272775,6.2675959045,11.46383867,5.793978829,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,5.541182786,5.411944154,6.738839176,9.085353696,7.2793614545,6.535201976,6.015254046,5.4135094614,10.02337358,6.4613233895,5.104977394,BRCA
6.995387545,6.072647808,10.0619138165,8.76269025,5.577341862,6.489380715,11.67867508,5.527496062,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,5.233822166,4.607083101,7.211063618,8.350852048,7.9356885615,6.666902575,6.271748387,5.3116906826,10.02260748,7.036744875,5.034976365,BRCA
